unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1775138790309,0,18,-520.000000,-17500.000000,160.000000,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1775138790474,1,418,-520.000000,-17500.000000,159.679737,0.000000,0.000000,90.000000,0.000000,0.000000,-17.714415,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1775138790564,2,534,-520.000000,-17500.000000,158.000928,0.000000,0.000000,90.000000,0.000000,0.000000,-50.364288,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790678,3,650,-520.000000,-17500.000000,155.234152,0.000000,0.000000,90.000000,0.000000,0.000000,-83.003281,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790710,4,683,-520.000000,-17500.000000,151.379772,0.000000,0.000000,90.000000,0.000000,0.000000,-115.631393,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790735,5,708,-520.000000,-17500.000000,146.606903,0.000000,0.000000,90.000000,0.000000,0.000000,-147.331238,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790759,6,733,-520.000000,-17500.000000,142.190250,0.000000,0.000000,90.000000,0.000000,0.000000,-172.394180,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790786,7,759,-520.000000,-17500.000000,137.303889,0.000000,0.000000,90.000000,0.000000,0.000000,-196.691254,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790813,8,787,-520.000000,-17500.000000,131.654259,0.000000,0.000000,90.000000,0.000000,0.000000,-221.617584,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790838,9,810,-520.000000,-17500.000000,124.594094,0.000000,0.000000,90.000000,0.000000,0.000000,-249.300461,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790864,10,837,-520.000000,-17500.000000,118.316358,0.000000,0.000000,90.000000,0.000000,0.000000,-271.867035,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790888,11,862,-520.000000,-17500.000000,110.457960,0.000000,0.000000,90.000000,0.000000,0.000000,-297.660919,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790915,12,888,-520.000000,-17500.000000,102.390322,0.000000,0.000000,90.000000,0.000000,0.000000,-322.124420,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790940,13,913,-520.000000,-17500.000000,93.106662,0.000000,0.000000,90.000000,0.000000,0.000000,-348.162964,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790967,14,939,-520.000000,-17500.000000,83.891718,0.000000,0.000000,90.000000,0.000000,0.000000,-372.325500,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138790990,15,964,-520.000000,-17500.000000,73.422039,0.000000,0.000000,90.000000,0.000000,0.000000,-398.000366,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138791022,16,994,-520.000000,-17500.000000,63.087726,0.000000,0.000000,90.000000,0.000000,0.000000,-421.901703,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138791045,17,1018,-520.000000,-17500.000000,49.593901,0.000000,0.000000,90.000000,0.000000,0.000000,-451.082733,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138791072,18,1044,-520.000000,-17500.000000,38.077549,0.000000,0.000000,90.000000,0.000000,0.000000,-474.740570,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.979,0.000
1775138791099,19,1071,-519.495329,-17499.783929,25.337149,0.584202,0.246954,90.025056,-0.111191,0.000000,-483.352173,0.000000,0.000000,0.000000,-0.000437,0.999991,0.004310,-2.083267,0.000,0.000,0.979,0.000
1775138791122,20,1096,-519.729989,-17499.917945,17.580881,0.417890,0.114543,90.012497,-5.605408,-0.687097,0.350081,0.000000,0.000000,0.000000,-0.000218,0.999998,0.001999,-0.685173,0.000,0.000,0.979,0.000
1775138791147,21,1119,-519.799271,-17499.865009,18.616123,0.443488,0.176988,90.012128,-3.644954,-0.065151,40.837128,0.000000,0.000000,0.000000,-0.000212,0.999995,0.003089,0.061768,0.000,0.000,0.979,0.000
1775138791173,22,1145,-519.844860,-17499.793370,20.279694,0.465735,0.261540,90.014369,-2.772133,-0.096827,70.772316,0.000000,0.000000,0.000000,-0.000251,0.999990,0.004565,0.226925,0.000,0.000,0.979,0.000
1775138791202,23,1173,-519.893382,-17499.713676,22.737744,0.481292,0.363831,90.018414,-2.377280,-0.374435,94.378998,0.000000,0.000000,0.000000,-0.000321,0.999980,0.006350,0.225644,0.000,0.000,0.979,0.000
1775138791227,24,1199,-519.949917,-17499.651856,25.714575,0.485664,0.457193,90.023351,-2.164006,-0.716224,107.475243,0.000000,0.000000,0.000000,-0.000408,0.999968,0.007979,0.142273,0.000,0.000,0.979,0.000
1775138791253,25,1225,-520.007017,-17499.626492,28.599601,0.480607,0.515969,90.027921,-1.962800,-0.979904,108.475449,0.000000,0.000000,0.000000,-0.000487,0.999959,0.009005,-0.002061,0.000,0.000,0.979,0.000
1775138791707,26,1240,-520.059999,-17499.635986,31.158722,0.470350,0.536657,90.031471,-1.705680,-1.080340,100.139275,0.000000,0.000000,0.000000,-0.000549,0.999956,0.009366,-0.141421,0.000,0.000,0.979,0.000
1775138791739,27,1270,-520.090862,-17499.654903,32.562558,0.463259,0.534946,90.034196,-1.559332,-1.118657,90.055183,0.000000,0.000000,0.000000,-0.000597,0.999956,0.009336,-0.276883,0.000,0.000,0.979,0.000
1775138791792,28,1324,-520.139349,-17499.721226,34.565287,0.448299,0.488823,90.036492,-1.206375,-0.894816,68.970627,0.000000,0.000000,0.000000,-0.000637,0.999963,0.008531,-0.305595,0.000,0.000,0.979,0.000
1775138791826,29,1358,-520.179779,-17499.818615,35.908417,0.433427,0.397715,90.036582,-0.823994,-0.534577,40.647522,0.000000,0.000000,0.000000,-0.000638,0.999976,0.006941,-0.251888,0.000,0.000,0.979,0.000
1775138791865,30,1399,-520.203277,-17499.912768,36.299626,0.423568,0.293586,90.034749,-0.455034,-0.095315,12.134140,0.000000,0.000000,0.000000,-0.000606,0.999987,0.005124,-0.032863,0.000,0.000,0.979,0.000
1775138791891,31,1425,-520.212160,-17499.984289,35.865355,0.418996,0.200481,90.031976,-0.158432,0.295481,-12.677525,0.000000,0.000000,0.000000,-0.000558,0.999994,0.003499,0.251209,0.000,0.000,0.979,0.000
1775138791923,32,1456,-520.211448,-17500.019047,35.125869,0.418288,0.144422,90.029828,0.040113,0.550263,-28.295055,0.000000,0.000000,0.000000,-0.000521,0.999997,0.002521,0.478918,0.000,0.000,0.979,0.000
1775138791950,33,1484,-520.205875,-17500.029290,33.886189,0.419792,0.109577,90.027979,0.131485,0.662323,-40.458138,0.000000,0.000000,0.000000,-0.000488,0.999998,0.001912,0.584883,0.000,0.000,0.979,0.000
