unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773522096823,59043,3,3,1,20401,teleport
1773522180530,142770,3,3,1,20401,teleport
1773522192109,154637,3,3,1,20401,trigger
1773522204085,166638,3,3,1,20401,reaction_accept
1773522280783,218765,3,3,2,10401,teleport
1773522290981,229204,3,3,2,10401,trigger
1773522296320,234555,3,3,2,10401,reaction_accept
1773522346156,269371,3,3,3,20101,teleport
1773522357592,281099,3,3,3,20101,trigger
1773522361697,285222,3,3,3,20101,reaction_accept
1773522410708,312189,3,3,4,10101,teleport
1773522422170,323969,3,3,4,10101,trigger
1773522424773,326591,3,3,4,10101,reaction_accept
1773522502153,388123,3,3,5,20301,teleport
1773522552743,438697,3,3,5,20301,teleport
1773522567009,453277,3,3,5,20301,trigger
1773522572669,458918,3,3,5,20301,reaction_accept
1773522653570,517017,3,3,6,10301,teleport
1773522667624,531318,3,3,6,10301,trigger
1773522673449,537156,3,3,6,10301,reaction_accept
1773522737292,583766,3,3,7,20501,teleport
1773522749129,595897,3,3,7,20501,trigger
1773522752940,599725,3,3,7,20501,reaction_accept
1773522820155,645414,3,3,8,10501,teleport
1773522831740,657289,3,3,8,10501,trigger
1773522833947,659528,3,3,8,10501,reaction_reject
1773522921866,726065,3,3,9,20201,teleport
1773522933898,738422,3,3,9,20201,trigger
1773522937167,741709,3,3,9,20201,reaction_accept
1773522993254,777522,3,3,10,10201,teleport
1773523005939,790523,3,3,10,10201,trigger
1773523008190,792793,3,3,10,10201,reaction_accept
