unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1776177677809,98582,3,5,1,20401,teleport
1776177801523,222315,3,5,1,20401,teleport
1776177823590,244622,3,5,1,20401,trigger
1776177829751,250802,3,5,1,20401,reaction_reject
1776177936999,346595,3,5,2,10401,teleport
1776177950715,360508,3,5,2,10401,trigger
1776177955802,365610,3,5,2,10401,reaction_accept
1776177995844,396043,3,5,3,20101,teleport
1776178037480,437959,3,5,3,20101,trigger
1776178044934,445426,3,5,3,20101,reaction_accept
1776178132643,516325,3,5,4,10101,teleport
1776178145018,528944,3,5,4,10101,trigger
1776178149114,533058,3,5,4,10101,reaction_accept
1776178268127,639140,3,5,5,20301,teleport
1776178469275,840307,3,5,5,20301,teleport
1776178485564,856835,3,5,5,20301,trigger
1776178492543,863770,3,5,5,20301,reaction_accept
1776178566576,918989,3,5,6,10301,teleport
1776178578951,931589,3,5,6,10301,trigger
1776178585941,938594,3,5,6,10301,reaction_accept
1776178662908,1002932,3,5,7,20501,teleport
1776178677105,1017395,3,5,7,20501,trigger
1776178682419,1022726,3,5,7,20501,reaction_accept
1776178795578,1125503,3,5,8,10501,teleport
1776178804473,1134637,3,5,8,10501,trigger
1776178811188,1141372,3,5,8,10501,reaction_reject
1776178988369,1249505,3,5,9,20201,teleport
1776179031883,1293265,3,5,9,20201,trigger
1776179038821,1300208,3,5,9,20201,reaction_accept
1776179095505,1339441,3,5,10,10201,teleport
1776179106837,1351027,3,5,10,10201,trigger
1776179112533,1356741,3,5,10,10201,reaction_accept
