unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773601470733,59527,2,3,1,20201,teleport
1773601493312,82361,2,3,1,20201,trigger
1773601500313,89363,2,3,1,20201,reaction_accept
1773601572894,139647,2,3,2,10301,teleport
1773601581161,148114,2,3,2,10301,trigger
1773601589178,156130,2,3,2,10301,reaction_accept
1773601674231,223085,2,3,3,20401,teleport
1773601757856,306705,2,3,3,20401,teleport
1773601776311,325400,2,3,3,20401,trigger
1773601783579,332688,2,3,3,20401,reaction_accept
1773601863226,391435,2,3,4,10401,teleport
1773601871682,400089,2,3,4,10401,trigger
1773601878153,406583,2,3,4,10401,reaction_reject
1773601974013,474268,2,3,5,20501,teleport
1773601986040,486527,2,3,5,20501,trigger
1773601995370,495872,2,3,5,20501,reaction_accept
1773602075842,558583,2,3,6,10501,teleport
1773602085424,568406,2,3,6,10501,trigger
1773602095439,578412,2,3,6,10501,reaction_ignore
1773602187973,642863,2,3,7,20101,teleport
1773602210481,665615,2,3,7,20101,trigger
1773602215862,670996,2,3,7,20101,reaction_accept
1773602285393,727011,2,3,8,10101,teleport
1773602296207,738072,2,3,8,10101,trigger
1773602298895,740783,2,3,8,10101,reaction_accept
1773602408262,838158,2,3,9,20301,teleport
1773602482357,912186,2,3,9,20301,teleport
1773602498635,928767,2,3,9,20301,trigger
1773602504784,934932,2,3,9,20301,reaction_reject
1773602546905,964107,2,3,10,10201,teleport
1773602558706,976173,2,3,10,10201,trigger
1773602563212,980693,2,3,10,10201,reaction_accept
