subcategory,metric,recommendation_category,subcat_coef,subcat_stat,subcat_p,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcat_test,subcat_df,subcat_n,subcat_p_fdr
101,appropriateness,1,1.0138888888888888,7.560915555000644,1.1141036358123606e-07,0.7364900803898133,1.2912876973879643,1.5433654248353217,one-sample t-test on subject-wise paired difference,23,24,5.570518179061803e-07
102,appropriateness,1,0.5624999999999999,2.1786970349337818,0.03985532043652925,0.0284101806249637,1.096589819375036,0.4447246699752018,one-sample t-test on subject-wise paired difference,23,24,0.06642553406088209
103,appropriateness,1,0.11111111111111106,0.5462033160133656,0.5901857638026106,-0.30970443296092665,0.5319266551831487,0.11149328500407481,one-sample t-test on subject-wise paired difference,23,24,0.7377322047532632
104,appropriateness,1,-0.06250000000000011,-0.2885783384499888,0.7754888960821313,-0.5105277395234803,0.3855277395234801,-0.058905806668554994,one-sample t-test on subject-wise paired difference,23,24,0.7754888960821313
105,appropriateness,1,-1.625,-4.9357289849437,5.470526211640951e-05,-2.306068313755741,-0.9439316862442589,-1.0075014601481016,one-sample t-test on subject-wise paired difference,23,24,0.00013676315529102375
201,appropriateness,2,0.2604166666666667,0.984064528818471,0.33532314916916706,-0.2870199125450347,0.807853245878368,0.20087133079813382,one-sample t-test on subject-wise paired difference,23,24,0.4191539364614588
202,appropriateness,2,0.16059027777777782,0.7513820282378927,0.46004262245167704,-0.2815367465581423,0.6027173021136979,0.15337521425669487,one-sample t-test on subject-wise paired difference,23,24,0.46004262245167704
203,appropriateness,2,-0.290798611111111,-1.4303915699745189,0.1660506622547686,-0.7113567104468077,0.12975948822458572,-0.29197745656800916,one-sample t-test on subject-wise paired difference,23,24,0.2767511037579477
204,appropriateness,2,-0.7421875,-3.1084976369433353,0.0049469320800683255,-1.236101924121169,-0.24827307587883107,-0.6345194230965373,one-sample t-test on subject-wise paired difference,23,24,0.024734660400341626
205,appropriateness,2,0.6119791666666666,1.9202768778745425,0.06730763602175525,-0.04728792920345937,1.2712462625367926,0.39197487630478317,one-sample t-test on subject-wise paired difference,23,24,0.16826909005438812
101,disturbance,1,-0.4166666666666667,-2.7180103568209355,0.01226664303136099,-0.7337885896368517,-0.09954474369648164,-0.5548115408176105,one-sample t-test on subject-wise paired difference,23,24,0.020444405052268317
102,disturbance,1,-0.642361111111111,-3.908572909087183,0.0007057497651810111,-0.9823381902255359,-0.3023840319966861,-0.797834104144105,one-sample t-test on subject-wise paired difference,23,24,0.0017643744129525276
103,disturbance,1,-0.08680555555555551,-0.5209562334151155,0.6073770616193366,-0.4315004869310374,0.2578893758199263,-0.10633974584910705,one-sample t-test on subject-wise paired difference,23,24,0.6073770616193366
104,disturbance,1,-0.10416666666666667,-0.7711177237947279,0.4484871041810361,-0.3836118941626252,0.17527856082929183,-0.15740374624279146,one-sample t-test on subject-wise paired difference,23,24,0.5606088802262951
105,disturbance,1,1.25,3.9655390713765932,0.0006127816083097257,0.5979267341763546,1.9020732658236454,0.8094622733285745,one-sample t-test on subject-wise paired difference,23,24,0.0017643744129525276
201,disturbance,2,-0.08680555555555554,-0.3711979483219193,0.7138874469447818,-0.5705662388740983,0.39695512776298725,-0.07577046391305846,one-sample t-test on subject-wise paired difference,23,24,0.9134357723682144
202,disturbance,2,0.008680555555555506,0.04741677850196191,0.9625903872443287,-0.37002710616216733,0.3873882172732784,0.0096789093813648,one-sample t-test on subject-wise paired difference,23,24,0.9625903872443287
203,disturbance,2,0.07812499999999996,0.3483460850341419,0.7307486178945716,-0.3858212958171254,0.5420712958171253,0.07110584685248394,one-sample t-test on subject-wise paired difference,23,24,0.9134357723682144
204,disturbance,2,0.3732638888888889,2.1930288661708026,0.0386808104025583,0.021168576166056496,0.7253592016117213,0.44765014277606696,one-sample t-test on subject-wise paired difference,23,24,0.1934040520127915
205,disturbance,2,-0.37326388888888884,-1.437055057367346,0.16416784771366333,-0.9105816349877606,0.1640538572099829,-0.2933376352363338,one-sample t-test on subject-wise paired difference,23,24,0.4104196192841583
101,satisfaction,1,0.7569444444444445,4.891030010140815,6.112712092098488e-05,0.43679533834249046,1.0770935505463985,0.998377320123719,one-sample t-test on subject-wise paired difference,23,24,0.0003056356046049244
102,satisfaction,1,0.6180555555555557,2.3256724166425102,0.029211660581954534,0.06830258109857745,1.1678085300125338,0.47472589413663285,one-sample t-test on subject-wise paired difference,23,24,0.04868610096992423
103,satisfaction,1,0.1493055555555556,0.7474170760177188,0.46238542429312446,-0.2639336969157392,0.5625448080268504,0.15256587177386643,one-sample t-test on subject-wise paired difference,23,24,0.5779817803664056
104,satisfaction,1,0.010416666666666593,0.046915105733670005,0.9629858789917727,-0.44889204506310926,0.4697253783964424,0.009576505856351078,one-sample t-test on subject-wise paired difference,23,24,0.9629858789917727
105,satisfaction,1,-1.5347222222222223,-4.304646369968903,0.0002635044059276815,-2.2722543054679263,-0.7971901389765182,-0.878682260795639,one-sample t-test on subject-wise paired difference,23,24,0.0006587610148192037
201,satisfaction,2,0.3784722222222223,1.822497863482605,0.08140767705064769,-0.051119196522219634,0.8080636409666643,0.37201581857040816,one-sample t-test on subject-wise paired difference,23,24,0.10175959631330961
202,satisfaction,2,0.1918402777777777,0.9403011709795129,0.35683457120032935,-0.2302073202237239,0.6138878757792793,0.19193817278677736,one-sample t-test on subject-wise paired difference,23,24,0.35683457120032935
203,satisfaction,2,-0.6414930555555555,-3.1383422502050653,0.004608517036548954,-1.064337151453399,-0.21864895965771197,-0.6406114292683653,one-sample t-test on subject-wise paired difference,23,24,0.011521292591372386
204,satisfaction,2,-0.745659722222222,-3.3243162636717334,0.0029520976485563274,-1.2096693220351555,-0.2816501224092884,-0.6785732158026008,one-sample t-test on subject-wise paired difference,23,24,0.011521292591372386
205,satisfaction,2,0.8168402777777778,2.6614800325238788,0.013943141234174712,0.18194434150452954,1.4517362140510262,0.54327233669079,one-sample t-test on subject-wise paired difference,23,24,0.02323856872362452
