model,accuracy_oof,balanced_accuracy_oof,auc_oof,f1_oof,precision_oof,recall_oof,brier_oof,accuracy_mean,accuracy_std,accuracy_se,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_se,roc_auc_mean,roc_auc_std,roc_auc_se,f1_mean,f1_std,f1_se,precision_mean,precision_std,precision_se,recall_mean,recall_std,recall_se
GBDT,0.6465696465696466,0.6335832083958021,0.6916575610499834,0.7235772357723578,0.7904085257548845,0.6671664167916042,0.22311183861023864,0.6303225806451613,0.12928910077039,0.026391027182560915,0.6267432450428205,0.10227270614459068,0.020876328722321084,0.7098699961041969,0.07836078774283331,0.015995328817706666,0.6922265733783659,0.13706650715263552,0.027978583612458155,0.7921435816070946,0.11735225750440331,0.02395442925412385,0.6478488569260782,0.1907155638930203,0.03892965146208859
Random Forest,0.6528066528066528,0.5775823952430564,0.6406957538180063,0.7551319648093842,0.7388809182209469,0.7721139430284858,0.23155001408820497,0.6397222222222222,0.11758949495549903,0.024002855146045762,0.5765315577830189,0.09532368421732179,0.01945786556121937,0.6590924675374431,0.1045686671228553,0.021344989794495218,0.7329376512674383,0.11122529181509537,0.022703767619928494,0.7441683932627366,0.12383867459551041,0.025278463598463877,0.7528846025585771,0.15938121116573362,0.03253355349523535
Logistic,0.6112266112266113,0.606205371890326,0.6328005488781034,0.6883333333333334,0.774859287054409,0.6191904047976012,0.23883935435194456,0.591568100358423,0.1433538153100897,0.02926197501590824,0.6044612851463784,0.06610345488276169,0.01349331122482128,0.6557471048119847,0.09482190589168146,0.01935544048940213,0.6290076856106,0.20687244605031072,0.042227661222058545,0.7617131403773895,0.20345323714644192,0.041529718127186914,0.5848269412629173,0.24677520737492262,0.05037277826983872
SVM,0.6226611226611226,0.6040530582166543,0.6041470790028715,0.7055961070559611,0.7685512367491166,0.6521739130434783,0.20536439043120525,0.6039336917562724,0.1462639261465354,0.0298559989029279,0.597020376479925,0.08700586657376917,0.017759998144534116,0.6552239668658963,0.07747986245153958,0.015815510695608142,0.6478184407512919,0.20681638027053212,0.04221621684268448,0.7511861391205903,0.20417333998781456,0.04167670850416119,0.6220360763499104,0.26122392984378995,0.05332211139348967
Decision Tree,0.5509355509355509,0.540985439483648,0.5506619571570146,0.6363636363636364,0.72552783109405,0.5667166416791605,0.2592893273189806,0.5343458781362007,0.18045316361486746,0.03683484777728271,0.5334207068423061,0.11417417046980227,0.023305704954713225,0.5693481357183982,0.1335727410195271,0.027265421586897126,0.5686675115273718,0.24865048789092695,0.0507555683022382,0.6993635843635845,0.23493259270028405,0.047955414672066994,0.5407970247564512,0.29027442297328054,0.05925201847211304
MLP,0.682952182952183,0.49533961832643,0.5270906919421645,0.8109113453192809,0.6913319238900634,0.9805097451274363,0.23268701460733887,0.684462365591398,0.12035512007885305,0.024567386010382358,0.5002678571428572,0.016769765781476282,0.0034231141058835403,0.543263425396774,0.13290414219062366,0.02712894442244414,0.8052671498494304,0.09234872555642067,0.0188506046674626,0.6981112391193035,0.12465055463084855,0.025444187916708143,0.9779166666666667,0.07494804964058463,0.01529870656968471
