version,compare_version,base_version,metric,subcategory,n,dof,mean_base,mean_compare,mean_diff,stats,p_val,effect_size_dz,p_fdr,sig
personified_vs_default,personified,default,disturbance,204,12,11,4.75,3.0833333333333335,-1.6666666666666667,-4.021998332699219,0.0020092477866288324,-1.16105091003206,0.020092477866288323,*
personalized_vs_default,personalized,default,disturbance,205,12,11,2.9166666666666665,2.5,-0.4166666666666667,-0.6236725648730983,0.5455580668961064,-0.1800387616078338,0.7274107558614752,ns
personified_vs_default,personified,default,disturbance,205,12,11,2.9166666666666665,2.1666666666666665,-0.75,-1.3256683030472374,0.21182138128164318,-0.3826874758102385,0.42364276256328637,ns
personalized_vs_default,personalized,default,satisfaction,101,12,11,6.583333333333333,6.833333333333333,0.25,1.3932610920384718,0.1910542980965691,0.40219983326992187,0.3821085961931382,ns
personified_vs_default,personified,default,satisfaction,101,12,11,6.583333333333333,6.75,0.16666666666666666,1.0,0.3388006961962018,0.2886751345948128,0.6160012658112759,ns
personalized_vs_default,personalized,default,satisfaction,102,12,11,5.75,6.5,0.75,1.6818357317441643,0.12073832762303512,0.4855041562276123,0.3449666503515289,ns
personified_vs_default,personified,default,satisfaction,102,12,11,5.75,6.666666666666667,0.9166666666666666,1.782304962266639,0.10228798193986278,0.514507124871325,0.34095993979954264,ns
personalized_vs_default,personalized,default,satisfaction,103,12,11,5.666666666666667,6.083333333333333,0.4166666666666667,1.4488742668780388,0.1752736470089182,0.41825397400197867,0.3821085961931382,ns
personified_vs_default,personified,default,satisfaction,103,12,11,5.666666666666667,5.666666666666667,0.0,0.0,1.0,0.0,1.0,ns
personalized_vs_default,personalized,default,satisfaction,104,12,11,5.666666666666667,5.916666666666667,0.25,0.42234864552686613,0.6809078012811214,0.12192155209340498,0.7759590818048363,ns
personified_vs_default,personified,default,satisfaction,104,12,11,5.666666666666667,6.0,0.3333333333333333,0.6504436355879908,0.5287571161014745,0.18776690404970264,0.7553673087163921,ns
personalized_vs_default,personalized,default,satisfaction,105,12,11,3.3333333333333335,3.6666666666666665,0.3333333333333333,0.39783587230787026,0.6983631736243527,0.11484532398511924,0.7759590818048363,ns
personified_vs_default,personified,default,satisfaction,105,12,11,3.3333333333333335,3.0833333333333335,-0.25,-0.4907911087303427,0.6332182694727562,-0.14167918937066915,0.7759590818048363,ns
personalized_vs_default,personalized,default,satisfaction,201,12,11,3.4166666666666665,6.333333333333333,2.9166666666666665,5.840712632088049,0.0001124012537020651,1.6860685051976416,0.002248025074041302,**
personified_vs_default,personified,default,satisfaction,201,12,11,3.4166666666666665,5.416666666666667,2.0,3.3166247903554,0.006872303308921115,0.9574271077563381,0.03721858658235339,*
personalized_vs_default,personalized,default,satisfaction,202,12,11,4.0,5.583333333333333,1.5833333333333333,3.2716210115364346,0.007443717316470679,0.9444356358484981,0.03721858658235339,*
personified_vs_default,personified,default,satisfaction,202,12,11,4.0,4.166666666666667,0.16666666666666666,0.41137667560372115,0.688697536135214,0.11875421719907088,0.7759590818048363,ns
personalized_vs_default,personalized,default,satisfaction,203,12,11,4.25,5.416666666666667,1.1666666666666667,1.5833435332188803,0.14164974107832484,0.4570719075617868,0.3541243526958121,ns
personified_vs_default,personified,default,satisfaction,203,12,11,4.25,4.75,0.5,0.6915640748081247,0.5035459058291823,0.19963735237617264,0.7553673087163921,ns
personalized_vs_default,personalized,default,satisfaction,204,12,11,2.9166666666666665,5.0,2.0833333333333335,3.9394399803673212,0.0023142556627963893,1.1372183665607234,0.02314255662796389,*
personified_vs_default,personified,default,satisfaction,204,12,11,2.9166666666666665,4.166666666666667,1.25,2.6111648393354674,0.024207161876225087,0.753778361444409,0.09682864750490035,ns
personalized_vs_default,personalized,default,satisfaction,205,12,11,5.166666666666667,5.25,0.08333333333333333,0.1269071206698834,0.9013040104108909,0.036634930140418756,0.9487410635904115,ns
personified_vs_default,personified,default,satisfaction,205,12,11,5.166666666666667,5.416666666666667,0.25,0.7125253031944253,0.4909774335399619,0.20568833780186058,0.7553673087163921,ns
