subcategory,metric,term,coef,stat,pval,ci_low,ci_high,effect_size,pval_fdr
101,appropriateness,Intercept,6.458333333333331,50.2638211770811,0.0,6.2065000974778055,6.710166569188857,7.41405817159515,0.0
101,appropriateness,"C(scene_id, Sum)[S.scene_1]",0.08333333333333333,0.6963129105217446,0.48623288964487055,-0.15123122747973805,0.31789789414640474,0.09566526673026003,0.6077911120560882
101,appropriateness,"C(scene_id, Sum)[S.scene_2]",0.041666666666666664,0.3481564552608723,0.7277226880552949,-0.19289789414640474,0.27623122747973805,0.047832633365130016,0.8830720827549408
101,appropriateness,"C(mode, Sum)[S.0]",0.013888888888888841,0.10809423909049666,0.9139209379187749,-0.23794434696663713,0.2657221247444148,0.01594421112170995,0.9139209379187749
101,appropriateness,Group Var,0.4351067986820806,1.601493277013186,0.10926770788517658,-0.09739225522333039,0.9676058525874915,0.4994952954248495,0.15609672555025225
101,disturbance,Intercept,1.902777777777778,12.208977892197145,2.783641229068772e-34,1.5973160144788963,2.2082395410766598,1.999153321347648,6.95910307267193e-34
101,disturbance,"C(scene_id, Sum)[S.scene_1]",-0.06944444444444445,-0.651404487092673,0.5147854148714823,-0.27839082527915315,0.1395019363902643,-0.07296180004918423,0.7393807428816074
101,disturbance,"C(scene_id, Sum)[S.scene_2]",0.09722222222222222,0.911966281929742,0.36178646756706656,-0.11172415861248654,0.306168603056931,0.10214652006885792,0.5593427757496447
101,disturbance,"C(mode, Sum)[S.0]",-0.18055555555555558,-1.1585161503544736,0.24665346478540462,-0.4860173188544372,0.12490620774332606,-0.18970068012787902,0.49330692957080924
101,disturbance,Group Var,1.0914628515036915,2.166715586249068,0.030256547397472616,0.10414919899336317,2.07877650401402,1.1467453583883571,0.1380445463215408
101,satisfaction,Intercept,6.16666666666667,34.741418591807005,1.8679300697401313e-264,5.818769399910249,6.51456393342309,4.704351161879876,1.8679300697401312e-263
101,satisfaction,"C(scene_id, Sum)[S.scene_1]",0.08333333333333331,0.44112776233728357,0.659120505953358,-0.28692296425177105,0.4535896309184377,0.06357231299837665,0.794780452937848
101,satisfaction,"C(scene_id, Sum)[S.scene_2]",-0.08333333333333333,-0.4411277623372836,0.6591205059533581,-0.4535896309184377,0.28692296425177105,-0.06357231299837666,0.7513906589345354
101,satisfaction,"C(mode, Sum)[S.0]",0.2777777777777779,1.5649287653967119,0.1175996130158105,-0.07011948897864229,0.6256750445341981,0.21190770999458897,0.29399903253952625
101,satisfaction,Group Var,0.2552471622544632,1.2266030227698146,0.2199718325381056,-0.1526070790021079,0.6631014035110343,0.19471982988945802,0.29502677855487114
102,appropriateness,Intercept,6.097222222222227,27.60423301899426,9.898535202486905e-168,5.664305431776722,6.530139012667732,4.135717566710515,3.2995117341623018e-167
102,appropriateness,"C(scene_id, Sum)[S.scene_1]",0.5694444444444444,3.1878235861021778,0.0014334796498033492,0.21933391537586466,0.9195549735130242,0.38625152673150565,0.014334796498033492
102,appropriateness,"C(scene_id, Sum)[S.scene_2]",-0.5138888888888888,-2.8768164069702578,0.004017092396379562,-0.8639994179574686,-0.16377835982030908,-0.34856845095282213,0.02008546198189781
102,appropriateness,"C(mode, Sum)[S.0]",0.09722222222222239,0.44015861305913445,0.6598222326872136,-0.335694568223283,0.5301390126677278,0.0659453826126962,0.9139209379187749
102,appropriateness,Group Var,0.6859789493968164,1.9034799352520495,0.05697794940135319,-0.020355806263401832,1.3923137050570347,0.4652963411886344,0.12377819616689877
102,disturbance,Intercept,1.7222222222222223,10.22145920215071,1.5893020183651414e-24,1.3919862488477113,2.0524581955967336,1.5982240630572582,1.5893020183651414e-24
102,disturbance,"C(scene_id, Sum)[S.scene_1]",-0.2638888888888889,-2.061859943237312,0.03922107213032203,-0.5147365373137582,-0.013041240464019555,-0.2448891709523218,0.39221072130322027
102,disturbance,"C(scene_id, Sum)[S.scene_2]",-0.09722222222222222,-0.7596326106663781,0.44747422059971587,-0.34806987064709155,0.15362542620264713,-0.09022232614032909,0.5593427757496447
102,disturbance,"C(mode, Sum)[S.0]",-0.027777777777777776,-0.16486224519597917,0.8690524096737157,-0.3580137511522889,0.3024581955967333,-0.02577780746866545,0.8690524096737157
102,disturbance,Group Var,0.8220801550134665,2.0123967468621005,0.04417813115272152,0.02141920247322182,1.6227411075537113,0.7628912625509204,0.1380445463215408
102,satisfaction,Intercept,6.055555555555557,28.221990094659443,3.1420781072738164e-175,5.635008643184686,6.476102467926428,3.8706691186374096,7.85519526818454e-175
102,satisfaction,"C(scene_id, Sum)[S.scene_1]",0.611111111111111,2.866190697477636,0.0041544390673872705,0.19321994658248898,1.029002275639733,0.3906179844496467,0.013848130224624236
102,satisfaction,"C(scene_id, Sum)[S.scene_2]",-0.4722222222222222,-2.2147837207781733,0.026774913127142624,-0.8901133867508444,-0.05433105769360008,-0.3018411698019997,0.08924971042380875
102,satisfaction,"C(mode, Sum)[S.0]",0.11111111111111141,0.5178346806359543,0.604573619056064,-0.30943580125975945,0.5316580234819823,0.07102145171811777,0.75571702382008
102,satisfaction,Group Var,0.341833749596135,1.4319990536483358,0.15214409215270802,-0.1260309715444134,0.8096984707366834,0.21849776228308498,0.25357348692118004
103,appropriateness,Intercept,5.736111111111109,27.43692527535532,9.951129277230642e-166,5.326350502869914,6.145871719352304,4.0002852399381235,2.4877823193076603e-165
