subcategory,metric,version_terms,version_chi2,version_df,version_p,version_effect_size,mode_terms,mode_chi2,mode_df,mode_p,mode_effect_size,interaction_terms,interaction_chi2,interaction_df,interaction_p,interaction_effect_size,recommendation_category,subcat_coef,subcat_t,subcat_df,subcat_p,subcat_p_fdr,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcat_effect_size_type,n_subjects,subcategory_overall_chi2,subcategory_overall_p,subcategory_df,n_subjects_overall,subcategory_overall_effect_size,effect_size_type,version_p_fdr,mode_p_fdr,interaction_p_fdr,version_sig,mode_sig,interaction_sig,subcat_vs_category_mean_sig,subcategory_overall_sig
101,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",0.8571434736125381,2,0.6514388567348726,0.15430340545069512,"C(mode, Sum)[S.0]",0.19780208836948554,1,0.6565008166933135,0.0741249111615517,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",6.000004315287766,2,0.049786960945216306,0.4082484372729077,1,1.25,7.119170868623346,11,1.944434313236514e-05,9.72217156618257e-05,0.8635460855098567,1.6364539144901433,2.055127608703315,Cohen_dz,12,20.73631840796021,0.0003571542457002969,4,12,0.432006633499171,Kendall_W,0.7238209519276362,0.7023443414648964,0.35310056824829783,False,False,False,True,True
102,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",1.9655033933138066,2,0.3742797761497569,0.2336606866397064,"C(mode, Sum)[S.0]",3.4588500962538347,1,0.0629140535466385,0.3099664003410439,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",3.8275592396111087,2,0.14752175540525556,0.326069149091412,1,1.0416666666666663,3.0893676543057493,11,0.010297680375944772,0.01716280062657462,0.2995429922988694,1.783790341034463,0.8918236234195736,Cohen_dz,12,20.73631840796021,0.0003571542457002969,4,12,0.432006633499171,Kendall_W,0.582187463683785,0.15728513386659623,0.47908214206648964,False,False,False,True,True
103,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",1.7952754490077243,2,0.40753122457864954,0.2233131489017984,"C(mode, Sum)[S.0]",4.909091352170952,1,0.026715691593936764,0.36927448960280934,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.28346454458016557,2,0.8678535738354968,0.08873564744355461,1,0.4166666666666665,1.1785113019775788,11,0.2634580354140405,0.3293225442675506,-0.3614990993261398,1.1948324326594728,0.3402069087198856,Cohen_dz,12,20.73631840796021,0.0003571542457002969,4,12,0.432006633499171,Kendall_W,0.582187463683785,0.08905230531312255,0.8893021002406909,False,False,False,False,True
104,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",0.3016755794592761,2,0.8599871860997169,0.09154166923976269,"C(mode, Sum)[S.0]",9.187501642157745,1,0.0024367326228096585,0.5051815306885499,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.23463656180166106,2,0.8893021002406909,0.08073216380271474,1,0.24305555555555555,0.6611481023063203,11,0.5221241102871645,0.5221241102871645,-0.5660848911724279,1.052196002283539,0.1908570174203821,Cohen_dz,12,20.73631840796021,0.0003571542457002969,4,12,0.432006633499171,Kendall_W,0.8599871860997169,0.024367326228096585,0.8893021002406909,False,True,False,False,True
105,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",1.1351351359174442,2,0.5669027152835533,0.17757120136233337,"C(mode, Sum)[S.0]",5.872586872284585,1,0.015378437592800602,0.403890347890385,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",2.38610038774484,2,0.303294743982467,0.25745012395849715,1,-2.951388888888889,-5.563674753542617,11,0.00016925551924004383,0.00042313879810010953,-4.118955907780837,-1.7838218699969406,-1.6060945583206772,Cohen_dz,12,20.73631840796021,0.0003571542457002969,4,12,0.432006633499171,Kendall_W,0.7086283941044416,0.076892187964003,0.5931594112442645,False,False,False,True,True
201,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",50.22541522407165,2,1.2407653548890211e-11,1.1811648584727192,"C(mode, Sum)[S.0]",0.16216164655133639,1,0.6871740893354146,0.06711549882092485,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",2.066235436433331,2,0.3558956467465587,0.23957343089294095,2,0.18055555555555544,0.6155051143174746,11,0.5507434509797655,0.8542703407589014,-0.46509317928717875,0.8262042903982897,0.17768102171939268,Cohen_dz,12,10.361233480176194,0.034763104245462625,4,12,0.21585903083700406,Kendall_W,1.240765354889021e-10,0.7023443414648964,0.5931594112442645,True,False,False,False,True
202,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",15.826087229858782,2,0.00036593910619207924,0.663033584490819,"C(mode, Sum)[S.0]",2.347826084461136,1,0.12545785484510166,0.25537695909191094,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",3.304347883157291,2,0.19163285682659587,0.3029644223317544,2,0.041666666666666664,0.19375928910904103,11,0.8498959702694026,0.8542703407589014,-0.43164078313434007,0.5149741164676734,0.05593348886254769,Cohen_dz,12,10.361233480176194,0.034763104245462625,4,12,0.21585903083700406,Kendall_W,0.0018296955309603962,0.2509157096902033,0.47908214206648964,True,False,False,False,True
203,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",4.58824787424988,2,0.10084970526196675,0.35700326306670427,"C(mode, Sum)[S.0]",0.4266658590333973,1,0.5136295118953145,0.10886610775440798,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",1.058826432519199,2,0.5889504548567113,0.17149882025178928,2,0.07638888888888888,0.18803855878047154,11,0.8542703407589014,0.8542703407589014,-0.8177405488715684,0.9705183266493461,0.05428205626496725,Cohen_dz,12,10.361233480176194,0.034763104245462625,4,12,0.21585903083700406,Kendall_W,0.2016994105239335,0.7023443414648964,0.7953141252693671,False,False,False,False,True
204,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",9.703144974099576,2,0.007816077200512897,0.5191645257874418,"C(mode, Sum)[S.0]",0.14604456324068046,1,0.7023443414648964,0.06369296211789992,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.9043233351175907,2,0.6362513002154937,0.1584931943086368,2,-0.9652777777777773,-3.105101439107706,11,0.01001258728517199,0.05006293642585995,-1.6494944147895643,-0.28106114076599054,-0.8963655758649642,Cohen_dz,12,10.361233480176194,0.034763104245462625,4,12,0.21585903083700406,Kendall_W,0.026053590668376325,0.7023443414648964,0.7953141252693671,True,False,False,False,True
205,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",6.349406383067868,2,0.04180651076995745,0.4199671410118451,"C(mode, Sum)[S.0]",1.4180387462421558,1,0.23372648571092622,0.19846905344005955,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",5.300880558341077,2,0.07062011364965957,0.38372735395869423,2,0.6666666666666669,1.201297556080065,11,0.2548628710775759,0.6371571776939396,-0.5547821181317468,1.8881154514650804,0.34678473368983254,Cohen_dz,12,10.361233480176194,0.034763104245462625,4,12,0.21585903083700406,Kendall_W,0.10451627692489363,0.3895441428515437,0.35310056824829783,False,False,False,False,True
