subcategory,metric,term,coef,stat,pval,ci_low,ci_high,effect_size,converged,n_obs,n_subjects,pval_fdr
101,appropriateness,Intercept,6.583333333333333,35.135207890575636,1.9557130831936813e-270,6.216092124124026,6.95057454254264,9.10308107056277,True,36,12,1.955713083193681e-269
101,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]",0.16666666666666652,0.8017840140645126,0.42267790735719846,-0.240750615743413,0.574083949076746,0.23045774862184207,True,36,12,0.46964211928577604
101,appropriateness,"C(version, Treatment(reference='default'))[T.personified]",-1.5111368946286858e-16,-7.269632431058228e-16,0.9999999999999994,-0.4074172824100797,0.40741728241007935,-2.0895192395731743e-16,True,36,12,0.9999999999999994
101,appropriateness,"C(mode, Sum)[S.0]",-0.08333333333333301,-0.44474946696931017,0.6565008166933134,-0.4505745425426393,0.2839078758759732,-0.11522887431092069,True,36,12,0.7023443414648963
101,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",0.3333333333333332,1.603568028129026,0.10880930284353309,-0.07408394907674631,0.7407506157434127,0.46091549724368436,True,36,12,0.5440465142176654
101,appropriateness,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.49999999999999994,2.40535204219354,0.01615689301442177,0.09258271758992043,0.9074172824100795,0.6913732458655267,True,36,12,0.1615689301442177
101,appropriateness,Group Var,0.6250020677450322,1.3043474508392792,0.1921151434648165,-0.31415071877294254,1.5641548542630068,0.8642194164990976,True,36,12,0.40311338269722496
101,disturbance,Intercept,1.7499999999999996,5.333994127341178,9.607563152264867e-08,1.1069664887023776,2.3930335112976215,1.374324022864982,True,36,12,1.0675070169183186e-07
101,disturbance,"C(version, Treatment(reference='default'))[T.personalized]",3.7774215957106527e-16,9.713404116132658e-16,0.9999999999999992,-0.7622055248087842,0.7622055248087849,2.9665149962709285e-16,True,36,12,0.9999999999999992
101,disturbance,"C(version, Treatment(reference='default'))[T.personified]",3.777421595710653e-16,9.713404116132658e-16,0.9999999999999992,-0.7622055248087843,0.762205524808785,2.966514996270929e-16,True,36,12,0.9999999999999992
101,disturbance,"C(mode, Sum)[S.0]",-0.41666666666666635,-1.269998601747899,0.2040851282182149,-1.0597001779642885,0.22636684463095574,-0.32722000544404317,True,36,12,0.4081702564364298
101,disturbance,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-0.1666666666666669,-0.4285729418872413,0.668234040293215,-0.9288721914754514,0.5955388581421177,-0.13088800217761756,True,36,12,0.7424822669924611
