unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1773588401586,0,416,-520.000000,-17500.000000,159.729537,0.000000,0.000000,90.000000,0.000000,0.000000,-16.279112,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401612,1,556,-520.000000,-17500.000000,158.098555,0.000000,0.000000,90.000000,0.000000,0.000000,-48.929466,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401722,2,658,-520.000000,-17500.000000,155.379590,0.000000,0.000000,90.000000,0.000000,0.000000,-81.568939,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401742,3,686,-520.000000,-17500.000000,151.573006,0.000000,0.000000,90.000000,0.000000,0.000000,-114.197533,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401758,4,702,-520.000000,-17500.000000,147.685559,0.000000,0.000000,90.000000,0.000000,0.000000,-141.149216,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401774,5,718,-520.000000,-17500.000000,145.110135,0.000000,0.000000,90.000000,0.000000,0.000000,-157.180862,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401794,6,737,-520.000000,-17500.000000,142.451228,0.000000,0.000000,90.000000,0.000000,0.000000,-172.279297,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401811,7,756,-520.000000,-17500.000000,138.685688,0.000000,0.000000,90.000000,0.000000,0.000000,-191.510681,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401834,8,780,-520.000000,-17500.000000,134.713324,0.000000,0.000000,90.000000,0.000000,0.000000,-210.007950,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401856,9,800,-520.000000,-17500.000000,129.081184,0.000000,0.000000,90.000000,0.000000,0.000000,-233.581467,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401873,10,817,-520.000000,-17500.000000,124.005558,0.000000,0.000000,90.000000,0.000000,0.000000,-253.177444,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401892,11,835,-520.000000,-17500.000000,119.685010,0.000000,0.000000,90.000000,0.000000,0.000000,-268.881470,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401914,12,857,-520.000000,-17500.000000,114.371888,0.000000,0.000000,90.000000,0.000000,0.000000,-286.972443,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401973,13,915,-520.000000,-17500.000000,107.544936,0.000000,0.000000,90.000000,0.000000,0.000000,-308.585083,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588401990,14,934,-520.000000,-17500.000000,96.173669,0.000000,0.000000,90.000000,0.000000,0.000000,-341.138000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402006,15,951,-520.000000,-17500.000000,89.436822,0.000000,0.000000,90.000000,0.000000,0.000000,-359.438477,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402023,16,967,-520.000000,-17500.000000,82.922466,0.000000,0.000000,90.000000,0.000000,0.000000,-376.337036,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402040,17,985,-520.000000,-17500.000000,76.612877,0.000000,0.000000,90.000000,0.000000,0.000000,-392.046051,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402056,18,1002,-520.000000,-17500.000000,69.344583,0.000000,0.000000,90.000000,0.000000,0.000000,-409.372955,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402079,19,1022,-520.000000,-17500.000000,61.954138,0.000000,0.000000,90.000000,0.000000,0.000000,-426.289001,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402101,20,1044,-520.000000,-17500.000000,53.280581,0.000000,0.000000,90.000000,0.000000,0.000000,-445.291077,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588402120,21,1063,-520.000000,-17500.000000,42.551023,0.000000,0.000000,90.000000,0.000000,0.000000,-467.667603,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1773588402140,22,1083,-520.000000,-17500.000000,33.452694,0.000000,0.000000,90.000000,0.000000,0.000000,-485.925842,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1773588402156,23,1101,-519.962937,-17499.959103,24.834159,0.052414,0.046776,90.002319,-0.437971,0.000000,-445.497070,0.000000,0.000000,0.000000,-0.000040,1.000000,0.000816,-0.363686,1.000,0.000,0.384,0.000
1773588402174,24,1118,-519.810171,-17499.479629,17.698374,0.252222,0.104515,90.009747,-1.967742,23.107630,-255.794312,0.000000,0.000000,0.000000,-0.000170,0.999998,0.001824,22.641323,1.000,0.000,0.384,0.000
1773588402192,25,1135,-520.184077,-17498.741707,17.411293,0.417506,0.106218,89.996798,-31.007177,43.729145,-0.220001,0.000000,0.000000,0.000000,0.000056,0.999998,0.001854,43.726929,1.000,0.000,0.384,0.000
1773588402210,26,1154,-520.458174,-17497.587816,17.892409,0.472192,0.162850,89.983694,-18.994150,64.843842,27.810946,0.000000,0.000000,0.000000,0.000285,0.999996,0.002842,64.917221,1.000,0.000,0.383,0.000
1773588402229,27,1173,-520.636756,-17495.773965,18.983573,0.548015,0.281007,89.977661,-12.718826,88.570480,55.697941,0.000000,0.000000,0.000000,0.000390,0.999988,0.004904,88.837616,1.000,0.000,0.383,0.000
1773588402245,28,1190,-520.761558,-17493.603109,20.421024,0.609307,0.425669,89.981605,-9.661911,111.019150,77.028320,0.000000,0.000000,0.000000,0.000321,0.999972,0.007429,111.585243,1.000,0.000,0.383,0.000
1773588402263,29,1206,-520.879210,-17491.172814,22.054866,0.647010,0.576760,89.991665,-8.523120,131.161697,92.107590,0.000000,0.000000,0.000000,0.000145,0.999949,0.010066,132.080978,1.000,0.000,0.382,0.000
1773588402282,30,1225,-520.997509,-17488.784854,23.638437,0.662271,0.708449,90.007373,-8.339372,146.274292,100.791618,0.000000,0.000000,0.000000,-0.000129,0.999924,0.012364,147.510422,1.000,0.000,0.381,0.000
1773588402298,31,1243,-521.167080,-17485.386641,25.766818,0.657186,0.862792,90.034849,-8.222110,166.225708,107.370819,0.000000,0.000000,0.000000,-0.000608,0.999886,0.015058,167.828613,1.000,0.000,0.379,0.000
1773588402315,32,1259,-521.335244,-17482.186379,27.651826,0.637107,0.974127,90.065106,-8.433414,178.706009,107.709335,0.000000,0.000000,0.000000,-0.001136,0.999855,0.017001,180.520798,1.000,0.000,0.377,0.000
1773588402334,33,1278,-521.500255,-17479.111150,29.317385,0.609931,1.050061,90.097595,-8.585055,188.936523,103.956085,0.000000,0.000000,0.000000,-0.001703,0.999831,0.018326,190.824234,1.000,0.000,0.374,0.000
1773588402353,34,1295,-521.703583,-17475.240857,31.144298,0.570455,1.104518,90.140359,-8.619119,202.342819,96.330673,0.000000,0.000000,0.000000,-0.002449,0.999811,0.019276,204.182617,1.000,0.000,0.372,0.000
1773588402381,35,1323,-521.897183,-17471.522537,32.647429,0.531725,1.119876,90.183675,-8.776773,211.534286,85.727409,0.000000,0.000000,0.000000,-0.003205,0.999804,0.019544,213.196411,1.000,0.000,0.368,0.000
