unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1775227360296,0,413,-520.000000,-17500.000000,159.824346,0.000000,0.000000,90.000000,0.000000,0.000000,-13.119364,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775227361137,1,602,-520.000000,-17500.000000,158.298654,0.000000,0.000000,90.000000,0.000000,0.000000,-45.770771,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775227361776,2,1002,-520.000000,-17500.000000,155.684944,0.000000,0.000000,90.000000,0.000000,0.000000,-78.411293,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775227362399,3,1402,-520.000000,-17500.000000,151.983579,0.000000,0.000000,90.000000,0.000000,0.000000,-111.040932,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775227364567,4,1416,-520.000000,-17500.000000,147.194922,0.000000,0.000000,90.000000,0.000000,0.000000,-143.659698,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775227365446,5,1429,-520.000000,-17500.000000,144.968342,0.000000,0.000000,90.000000,0.000000,0.000000,-157.492371,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365469,6,1453,-520.000000,-17500.000000,142.624667,0.000000,0.000000,90.000000,0.000000,0.000000,-170.907761,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365520,7,1500,-520.000000,-17500.000000,138.014617,0.000000,0.000000,90.000000,0.000000,0.000000,-194.133514,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365549,8,1532,-520.000000,-17500.000000,130.457130,0.000000,0.000000,90.000000,0.000000,0.000000,-226.724579,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365579,9,1563,-520.000000,-17500.000000,122.282331,0.000000,0.000000,90.000000,0.000000,0.000000,-257.727234,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365602,10,1587,-520.000000,-17500.000000,113.297471,0.000000,0.000000,90.000000,0.000000,0.000000,-288.190613,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365637,11,1619,-520.000000,-17500.000000,105.703501,0.000000,0.000000,90.000000,0.000000,0.000000,-311.969818,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365671,12,1652,-520.000000,-17500.000000,94.768489,0.000000,0.000000,90.000000,0.000000,0.000000,-343.094696,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227365696,13,1681,-520.000000,-17500.000000,82.658877,0.000000,0.000000,90.000000,0.000000,0.000000,-374.649597,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1775227368012,14,1696,-520.000000,-17500.000000,70.610702,0.000000,0.000000,90.000000,0.000000,0.000000,-403.771393,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
