unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1774033635058,55233,1,0,1,30101,teleport
1774033663415,83590,1,0,1,30101,teleport
1774033680113,100336,1,0,1,30101,trigger
1774033690144,110347,1,0,1,30101,reaction_ignore
1774033740519,134792,1,0,2,30201,teleport
1774033769808,164075,1,0,2,30201,teleport
1774033786545,180861,1,0,2,30201,trigger
1774033796554,190870,1,0,2,30201,reaction_ignore
1774033894462,219855,1,0,3,30301,teleport
1774033922778,248167,1,0,3,30301,teleport
1774033940806,266246,1,0,3,30301,trigger
