unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775249235417,50951,1,2,1,20101,teleport
1775249291987,107521,1,2,1,20101,teleport
1775249309046,124632,1,2,1,20101,trigger
1775249315416,130990,1,2,1,20101,reaction_accept
1775249349894,141779,1,2,2,10101,teleport
1775249385132,177023,1,2,2,10101,teleport
1775249392646,184593,1,2,2,10101,trigger
1775249397302,189251,1,2,2,10101,reaction_accept
1775249439941,213857,1,2,3,20501,teleport
1775249469446,243360,1,2,3,20501,teleport
1775249478251,252222,1,2,3,20501,trigger
1775249483822,257802,1,2,3,20501,reaction_accept
1775249523624,282223,1,2,4,10501,teleport
1775249565530,324127,1,2,4,10501,teleport
1775249573077,331733,1,2,4,10501,trigger
1775249575609,334270,1,2,4,10501,reaction_accept
1775249630968,367247,1,2,5,20201,teleport
1775249686074,422340,1,2,5,20201,teleport
1775249703010,439342,1,2,5,20201,trigger
1775249709599,445936,1,2,5,20201,reaction_accept
1775249746894,457464,1,2,6,10301,teleport
1775249780988,491551,1,2,6,10301,teleport
1775249789519,500151,1,2,6,10301,trigger
1775249799536,510164,1,2,6,10301,reaction_ignore
1775249848825,534475,1,2,7,20301,teleport
1775249892747,578381,1,2,7,20301,teleport
1775249908769,594480,1,2,7,20301,trigger
1775249913986,599695,1,2,7,20301,reaction_accept
1775249956114,618152,1,2,8,10401,teleport
1775249997556,659594,1,2,8,10401,teleport
1775250006219,668303,1,2,8,10401,trigger
1775250012152,674251,1,2,8,10401,reaction_reject
1775250046752,695438,1,2,9,20401,teleport
1775250076929,725615,1,2,9,20401,teleport
1775250089781,738514,1,2,9,20401,trigger
1775250093295,742035,1,2,9,20401,reaction_accept
1775250130914,764816,1,2,10,10201,teleport
1775250172680,806580,1,2,10,10201,teleport
1775250180245,814205,1,2,10,10201,trigger
1775250185081,819044,1,2,10,10201,reaction_accept
