unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1773588319356,0,17,-520.000000,-17500.000000,160.000000,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1773588319540,1,417,-520.000000,-17500.000000,159.709567,0.000000,0.000000,90.000000,0.000000,0.000000,-16.869364,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319605,2,538,-520.000000,-17500.000000,158.058916,0.000000,0.000000,90.000000,0.000000,0.000000,-49.519520,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319736,3,662,-520.000000,-17500.000000,155.320290,0.000000,0.000000,90.000000,0.000000,0.000000,-82.158791,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319756,4,689,-520.000000,-17500.000000,151.494050,0.000000,0.000000,90.000000,0.000000,0.000000,-114.787186,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319780,5,714,-520.000000,-17500.000000,147.649807,0.000000,0.000000,90.000000,0.000000,0.000000,-141.393265,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319808,6,743,-520.000000,-17500.000000,143.592247,0.000000,0.000000,90.000000,0.000000,0.000000,-165.394623,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319826,7,760,-520.000000,-17500.000000,137.944406,0.000000,0.000000,90.000000,0.000000,0.000000,-193.885330,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319844,8,778,-520.000000,-17500.000000,134.427157,0.000000,0.000000,90.000000,0.000000,0.000000,-210.244858,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319861,9,795,-520.000000,-17500.000000,130.221233,0.000000,0.000000,90.000000,0.000000,0.000000,-228.260269,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319878,10,813,-520.000000,-17500.000000,126.124313,0.000000,0.000000,90.000000,0.000000,0.000000,-244.631653,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319896,11,830,-520.000000,-17500.000000,121.518973,0.000000,0.000000,90.000000,0.000000,0.000000,-261.823303,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319912,12,848,-520.000000,-17500.000000,116.553793,0.000000,0.000000,90.000000,0.000000,0.000000,-279.201477,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319930,13,865,-520.000000,-17500.000000,111.400506,0.000000,0.000000,90.000000,0.000000,0.000000,-296.199982,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319947,14,881,-520.000000,-17500.000000,105.991897,0.000000,0.000000,90.000000,0.000000,0.000000,-313.076080,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319968,15,902,-520.000000,-17500.000000,100.702230,0.000000,0.000000,90.000000,0.000000,0.000000,-328.789703,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588319985,16,919,-520.000000,-17500.000000,93.463236,0.000000,0.000000,90.000000,0.000000,0.000000,-349.042114,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320003,17,938,-520.000000,-17500.000000,87.079329,0.000000,0.000000,90.000000,0.000000,0.000000,-366.068573,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320031,18,964,-520.000000,-17500.000000,79.907429,0.000000,0.000000,90.000000,0.000000,0.000000,-384.286469,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320053,19,985,-520.000000,-17500.000000,69.352147,0.000000,0.000000,90.000000,0.000000,0.000000,-409.444794,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320069,20,1003,-520.000000,-17500.000000,60.115627,0.000000,0.000000,90.000000,0.000000,0.000000,-430.384277,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320091,21,1022,-520.000000,-17500.000000,52.159748,0.000000,0.000000,90.000000,0.000000,0.000000,-447.719116,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320108,22,1042,-520.000000,-17500.000000,43.177404,0.000000,0.000000,90.000000,0.000000,0.000000,-466.498993,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1773588320128,23,1061,-520.000000,-17500.000000,33.341456,0.000000,0.000000,90.000000,0.000000,0.000000,-486.225220,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1773588320145,24,1079,-519.965235,-17499.962010,25.043098,0.049063,0.043452,90.002168,-0.423398,0.000000,-447.007599,0.000000,0.000000,0.000000,-0.000038,1.000000,0.000758,-0.338983,1.000,0.000,0.384,0.000
