unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773867049779,25824,1,2,1,20101,teleport
1773867078617,54668,1,2,1,20101,teleport
1773867095433,71533,1,2,1,20101,trigger
1773867105453,81553,1,2,1,20101,reaction_ignore
1773867137985,93535,1,2,2,10101,teleport
1773867179521,135047,1,2,2,10101,teleport
1773867187107,142708,1,2,2,10101,trigger
1773867189537,145140,1,2,2,10101,reaction_accept
1773867244937,192761,1,2,3,20501,teleport
1773867294107,241941,1,2,3,20501,teleport
1773867303026,250912,1,2,3,20501,trigger
1773867313045,260929,1,2,3,20501,reaction_ignore
1773867357087,284643,1,2,4,10501,teleport
1773867399462,327017,1,2,4,10501,teleport
1773867409293,336903,1,2,4,10501,trigger
1773867413653,341238,1,2,4,10501,reaction_accept
1773867446511,366604,1,2,5,20201,teleport
1773867475408,395503,1,2,5,20201,teleport
1773867492163,412312,1,2,5,20201,trigger
1773867501750,421903,1,2,5,20201,reaction_accept
1773867517229,431177,1,2,6,10301,teleport
1773867558279,472229,1,2,6,10301,teleport
1773867565855,479850,1,2,6,10301,trigger
1773867572163,486171,1,2,6,10301,reaction_accept
1773867610846,513091,1,2,7,20301,teleport
1773867652800,555046,1,2,7,20301,teleport
1773867668186,570481,1,2,7,20301,trigger
1773867671860,574157,1,2,7,20301,reaction_accept
1773867708276,596732,1,2,8,10401,teleport
1773867750415,638874,1,2,8,10401,teleport
1773867757924,646433,1,2,8,10401,trigger
1773867767930,656440,1,2,8,10401,reaction_ignore
1773867807258,680739,1,2,9,20401,teleport
1773867849263,722740,1,2,9,20401,teleport
1773867862089,735623,1,2,9,20401,trigger
1773867870522,744059,1,2,9,20401,reaction_accept
1773867901480,764769,1,2,10,10201,teleport
1773867943426,806714,1,2,10,10201,teleport
1773867950947,814287,1,2,10,10201,trigger
1773867956029,819374,1,2,10,10201,reaction_accept
