unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1774031264029,0,416,-520.000000,-17500.000000,159.734382,0.000000,0.000000,90.000000,0.000000,0.000000,-16.132654,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264072,1,582,-520.000000,-17500.000000,158.108280,0.000000,0.000000,90.000000,0.000000,0.000000,-48.783054,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264178,2,680,-520.000000,-17500.000000,155.394194,0.000000,0.000000,90.000000,0.000000,0.000000,-81.422569,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264223,3,732,-520.000000,-17500.000000,151.592487,0.000000,0.000000,90.000000,0.000000,0.000000,-114.051208,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264262,4,774,-520.000000,-17500.000000,146.703521,0.000000,0.000000,90.000000,0.000000,0.000000,-146.668976,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264306,5,814,-520.000000,-17500.000000,140.727659,0.000000,0.000000,90.000000,0.000000,0.000000,-179.275864,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264349,6,855,-520.000000,-17500.000000,133.665262,0.000000,0.000000,90.000000,0.000000,0.000000,-211.871887,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264390,7,902,-520.000000,-17500.000000,125.516694,0.000000,0.000000,90.000000,0.000000,0.000000,-244.457047,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264433,8,941,-520.000000,-17500.000000,116.282315,0.000000,0.000000,90.000000,0.000000,0.000000,-277.031342,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264474,9,985,-520.000000,-17500.000000,105.962489,0.000000,0.000000,90.000000,0.000000,0.000000,-309.594788,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264517,10,1024,-520.000000,-17500.000000,94.557576,0.000000,0.000000,90.000000,0.000000,0.000000,-342.147369,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264563,11,1070,-520.000000,-17500.000000,82.067939,0.000000,0.000000,90.000000,0.000000,0.000000,-374.689087,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1774031264608,12,1117,-520.000000,-17500.000000,68.493939,0.000000,0.000000,90.000000,0.000000,0.000000,-407.219971,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1774031264651,13,1159,-520.000000,-17500.000000,53.835938,0.000000,0.000000,90.000000,0.000000,0.000000,-439.740021,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1774031264694,14,1202,-520.000000,-17500.000000,38.094296,0.000000,0.000000,90.000000,0.000000,0.000000,-472.249207,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.384,0.000
1774031264739,15,1246,-519.144749,-17499.631981,22.101912,0.990436,0.420431,90.043937,-0.150096,0.000000,-481.589905,0.000000,0.000000,0.000000,-0.000767,0.999973,0.007338,-3.533712,1.000,0.000,0.384,0.000
1774031264779,16,1289,-519.793112,-17499.898014,17.697684,0.421291,0.117365,90.019192,-5.579539,-0.022305,0.111906,0.000000,0.000000,0.000000,-0.000335,0.999998,0.002048,-0.020207,1.000,0.000,0.385,0.000
1774031266091,17,1299,-519.857186,-17498.346062,19.469833,0.479541,0.311762,90.018726,-3.450027,41.462360,52.424065,0.000000,0.000000,0.000000,-0.000327,0.999985,0.005441,41.748123,1.000,0.000,0.383,0.000
1774031266126,18,1334,-519.880889,-17497.805645,20.098618,0.492230,0.374181,90.019559,-3.503256,49.093094,62.722561,0.000000,0.000000,0.000000,-0.000341,0.999979,0.006531,49.502857,1.000,0.000,0.383,0.000
1774031266209,19,1412,-519.986914,-17494.572590,23.277067,0.507773,0.645384,90.033477,-3.531183,89.884178,94.298576,0.000000,0.000000,0.000000,-0.000584,0.999936,0.011264,90.942688,1.000,0.000,0.383,0.000
1774031266255,20,1457,-520.143925,-17490.302762,26.879772,0.495621,0.879120,90.058554,-4.286613,121.970398,107.151459,0.000000,0.000000,0.000000,-0.001022,0.999882,0.015343,123.604378,1.000,0.000,0.382,0.000
1774031266301,21,1503,-520.346963,-17485.307957,30.333725,0.468195,1.013999,90.097563,-5.208075,146.306870,103.075653,0.000000,0.000000,0.000000,-0.001703,0.999842,0.017697,148.116714,1.000,0.000,0.380,0.000
