unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773520279566,100451,2,2,1,20201,teleport
1773520294366,115514,2,2,1,20201,trigger
1773520305574,126743,2,2,1,20201,reaction_accept
1773520422536,218757,2,2,2,10301,teleport
1773520433584,230015,2,2,2,10301,trigger
1773520439258,235701,2,2,2,10301,reaction_accept
1773520531799,303273,2,2,3,20401,teleport
1773520622201,393673,2,2,3,20401,teleport
1773520636693,408420,2,2,3,20401,trigger
1773520643085,414835,2,2,3,20401,reaction_accept
1773520804410,558432,2,2,4,10401,teleport
1773520816536,570766,2,2,4,10401,trigger
1773520822629,576875,2,2,4,10401,reaction_accept
1773520920075,645400,2,2,5,20501,teleport
1773520934457,660051,2,2,5,20501,trigger
1773520941746,667367,2,2,5,20501,reaction_accept
1773521066856,773169,2,2,6,10501,teleport
1773521081680,788257,2,2,6,10501,trigger
1773521088460,795048,2,2,6,10501,reaction_reject
1773521213396,899055,2,2,7,20103,teleport
1773521336397,1022131,2,2,8,10101,teleport
1773521458601,1144361,2,2,9,20301,teleport
1773521582466,1268228,2,2,9,20301,teleport
1773521593831,1279844,2,2,9,20301,trigger
1773521602809,1288841,2,2,9,20301,reaction_reject
1773521685598,1353092,2,2,10,10201,teleport
1773521696450,1364213,2,2,10,10201,trigger
1773521705507,1373287,2,2,10,10201,reaction_accept
