unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1774961550487,58910,2,2,1,20201,teleport
1774961568420,77109,2,2,1,20201,trigger
1774961573898,82609,2,2,1,20201,reaction_reject
1774961644835,138962,2,2,2,10301,teleport
1774961654000,148363,2,2,2,10301,trigger
1774961664020,158369,2,2,2,10301,reaction_ignore
1774961755591,223132,2,2,3,20401,teleport
1774961840029,307544,2,2,3,20401,teleport
1774961855650,323451,2,2,3,20401,trigger
1774961858538,326352,2,2,3,20401,reaction_reject
1774961946028,391377,2,2,4,10401,teleport
1774961953875,399453,2,2,4,10401,trigger
1774961960814,406375,2,2,4,10401,reaction_accept
1774962046253,476598,2,2,5,20501,teleport
1774962056238,486843,2,2,5,20501,trigger
1774962062164,492789,2,2,5,20501,reaction_accept
1774962144112,557029,2,2,6,10501,teleport
1774962152247,565429,2,2,6,10501,trigger
1774962160721,573923,2,2,6,10501,reaction_reject
1774962247576,640135,2,2,7,20104,teleport
1774962266073,658898,2,2,7,20104,trigger
1774962272020,664862,2,2,7,20104,reaction_reject
1774962346456,728122,2,2,8,10101,teleport
1774962354518,736451,2,2,8,10101,trigger
1774962361493,743442,2,2,8,10101,reaction_accept
1774962460779,827173,2,2,9,20301,teleport
1774962546270,912656,2,2,9,20301,teleport
1774962564018,930671,2,2,9,20301,trigger
1774962570569,937233,2,2,9,20301,reaction_reject
1774962642702,997632,2,2,10,10201,teleport
1774962651331,1006500,2,2,10,10201,trigger
1774962661367,1016529,2,2,10,10201,reaction_ignore
