unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773937675572,52306,1,0,1,30101,teleport
1773937720228,96966,1,0,1,30101,teleport
1773937736873,113658,1,0,1,30101,trigger
1773937741650,118397,1,0,1,30101,reaction_accept
1773937804654,141186,1,0,2,30201,teleport
1773937847613,184140,1,0,2,30201,teleport
1773937864528,201104,1,0,2,30201,trigger
1773937868328,204916,1,0,2,30201,reaction_accept
1773937893824,225267,1,0,3,30301,teleport
1773937933079,264523,1,0,3,30301,teleport
1773937950066,281557,1,0,3,30301,trigger
1773937956802,288283,1,0,3,30301,reaction_accept
1773938010188,340033,1,0,4,30101,teleport
1773938052904,382744,1,0,4,30101,teleport
