unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773684447291,56036,3,3,1,20401,teleport
1773684531632,140410,3,3,1,20401,teleport
1773684545810,154851,3,3,1,20401,trigger
1773684551125,160183,3,3,1,20401,reaction_reject
1773684591630,186407,3,3,2,10401,teleport
1773684599426,194448,3,3,2,10401,trigger
1773684601155,196191,3,3,2,10401,reaction_accept
1773684641954,227228,3,3,3,20101,teleport
1773684662281,247869,3,3,3,20101,trigger
1773684667462,253065,3,3,3,20101,reaction_accept
1773684692825,266945,3,3,4,10101,teleport
1773684701516,275954,3,3,4,10101,trigger
1773684709857,284317,3,3,4,10101,reaction_accept
1773684745432,312252,3,3,5,20301,teleport
1773684813554,380391,3,3,5,20301,teleport
1773684829686,396811,3,3,5,20301,trigger
1773684834865,401999,3,3,5,20301,reaction_reject
1773684873462,432454,3,3,6,10301,teleport
1773684881018,440264,3,3,6,10301,trigger
1773684891037,450270,3,3,6,10301,reaction_ignore
1773684933414,478835,3,3,7,20501,teleport
1773684943397,489098,3,3,7,20501,trigger
1773684950628,496345,3,3,7,20501,reaction_accept
1773684980986,519594,3,3,8,10501,teleport
1773684989818,528721,3,3,8,10501,trigger
1773684995906,534828,3,3,8,10501,reaction_reject
1773685044596,572873,3,3,9,20201,teleport
1773685063260,591825,3,3,9,20201,trigger
1773685067194,595775,3,3,9,20201,reaction_reject
1773685096404,614469,3,3,10,10201,teleport
1773685106776,625155,3,3,10,10201,trigger
1773685112040,630439,3,3,10,10201,reaction_accept
