unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1773680822919,0,410,-520.000000,-17500.000000,159.889949,0.000000,0.000000,90.000000,0.000000,0.000000,-10.384549,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1773680823645,1,558,-520.000000,-17500.000000,158.455386,0.000000,0.000000,90.000000,0.000000,0.000000,-43.036865,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680824389,2,958,-520.000000,-17500.000000,155.932776,0.000000,0.000000,90.000000,0.000000,0.000000,-75.678299,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680824726,3,972,-520.000000,-17500.000000,152.322481,0.000000,0.000000,90.000000,0.000000,0.000000,-108.308853,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680824747,4,995,-520.000000,-17500.000000,150.646331,0.000000,0.000000,90.000000,0.000000,0.000000,-121.780518,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680824936,5,1024,-520.000000,-17500.000000,147.246884,0.000000,0.000000,90.000000,0.000000,0.000000,-144.760147,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680824956,6,1045,-520.000000,-17500.000000,142.341150,0.000000,0.000000,90.000000,0.000000,0.000000,-172.570023,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680824982,7,1070,-520.000000,-17500.000000,138.112545,0.000000,0.000000,90.000000,0.000000,0.000000,-193.899765,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680825004,8,1092,-520.000000,-17500.000000,132.764471,0.000000,0.000000,90.000000,0.000000,0.000000,-217.899200,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680825025,9,1113,-520.000000,-17500.000000,127.447632,0.000000,0.000000,90.000000,0.000000,0.000000,-239.593292,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
1773680825050,10,1138,-520.000000,-17500.000000,121.972032,0.000000,0.000000,90.000000,0.000000,0.000000,-260.164307,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.000,0.000
