unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773938286526,57430,2,4,1,20201,teleport
1773938305449,76655,2,4,1,20201,trigger
1773938313120,84317,2,4,1,20201,reaction_accept
1773938401531,138465,2,4,2,10301,teleport
1773938411130,148287,2,4,2,10301,trigger
1773938419484,156632,2,4,2,10301,reaction_accept
1773938500271,220351,2,4,3,20401,teleport
1773938584278,304352,2,4,3,20401,teleport
1773938597651,318000,2,4,3,20401,trigger
1773938607142,327484,2,4,3,20401,reaction_accept
1773938689805,388424,2,4,4,10401,teleport
1773938697467,396312,2,4,4,10401,trigger
1773938706174,405012,2,4,4,10401,reaction_accept
1773938798773,472358,2,4,5,20501,teleport
1773938807955,481803,2,4,5,20501,trigger
1773938818011,491831,2,4,5,20501,reaction_ignore
1773938907736,556377,2,4,6,10501,teleport
1773938915656,564572,2,4,6,10501,trigger
1773938925666,574575,2,4,6,10501,reaction_ignore
1773939009900,640317,2,4,7,20104,teleport
1773939027293,657984,2,4,7,20104,trigger
1773939035092,665777,2,4,7,20104,reaction_accept
1773939112262,724351,2,4,8,10101,teleport
1773939120682,733040,2,4,8,10101,trigger
1773939124901,737252,2,4,8,10101,reaction_accept
1773939252001,848959,2,4,9,20301,teleport
1773939369541,966500,2,4,9,20301,teleport
1773939385747,982957,2,4,9,20301,trigger
1773939391018,988221,2,4,9,20301,reaction_accept
1773939460033,1043406,2,4,10,10201,teleport
1773939469326,1052973,2,4,10,10201,trigger
1773939474300,1057941,2,4,10,10201,reaction_accept
