unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775250366100,92377,2,3,1,20201,teleport
1775250396557,123097,2,3,1,20201,trigger
1775250399882,126448,2,3,1,20201,reaction_accept
1775250448610,143730,2,3,2,10301,teleport
1775250461791,157196,2,3,2,10301,trigger
1775250470729,166150,2,3,2,10301,reaction_accept
1775250556972,227228,2,3,3,20401,teleport
1775250634087,304323,2,3,3,20401,teleport
1775250651187,321704,2,3,3,20401,trigger
1775250655527,326070,2,3,3,20401,reaction_accept
1775250740609,396174,2,3,4,10401,teleport
1775250748678,404505,2,3,4,10401,trigger
1775250753564,409407,2,3,4,10401,reaction_accept
1775250851552,475108,2,3,5,20501,teleport
1775250865233,489056,2,3,5,20501,trigger
1775250868842,492678,2,3,5,20501,reaction_accept
1775250958023,560540,2,3,6,10501,teleport
1775250973038,575819,2,3,6,10501,trigger
1775250979968,582776,2,3,6,10501,reaction_accept
1775251066040,646701,2,3,7,20103,teleport
1775251104187,685110,2,3,7,20103,trigger
1775251107512,688487,2,3,7,20103,reaction_accept
1775251179304,739480,2,3,8,10101,teleport
1775251189161,749590,2,3,8,10101,trigger
1775251191796,752249,2,3,8,10101,reaction_accept
1775251262179,809901,2,3,9,20301,teleport
1775251327137,874843,2,3,9,20301,teleport
1775251349239,897250,2,3,9,20301,trigger
1775251352399,900431,2,3,9,20301,reaction_reject
1775251426416,957939,2,3,10,10201,teleport
1775251434736,966524,2,3,10,10201,trigger
1775251440240,972041,2,3,10,10201,reaction_reject
