unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1774985370598,53698,2,3,1,20201,teleport
1774985390073,73460,2,3,1,20201,trigger
1774985395466,78869,2,3,1,20201,reaction_accept
1774985436070,98488,2,3,2,10301,teleport
1774985444639,107316,2,3,2,10301,trigger
1774985453802,116494,2,3,2,10301,reaction_accept
1774985494020,140868,2,3,3,20401,teleport
1774985536123,182959,2,3,3,20401,teleport
1774985552621,199764,2,3,3,20401,trigger
1774985558897,206051,2,3,3,20401,reaction_accept
1774985612658,234422,2,3,4,10401,teleport
1774985620306,242343,2,3,4,10401,trigger
1774985627137,249187,2,3,4,10401,reaction_accept
1774985685343,289991,2,3,5,20501,teleport
1774985695758,300694,2,3,5,20501,trigger
1774985701427,306376,2,3,5,20501,reaction_accept
1774985782576,371759,2,3,6,10501,teleport
1774985792027,381476,2,3,6,10501,trigger
1774985800187,389662,2,3,6,10501,reaction_reject
1774985887532,457150,2,3,7,20104,teleport
1774985929488,499390,2,3,7,20104,trigger
1774985938438,508355,2,3,7,20104,reaction_accept
1774985968009,520673,2,3,7,20104,trigger
1774985978009,530681,2,3,7,20104,reaction_ignore
1774986134284,547108,2,3,8,10101,teleport
1774986142646,555725,2,3,8,10101,trigger
1774986148293,561404,2,3,8,10101,reaction_accept
1774986227932,625896,2,3,9,20301,teleport
1774986317147,715113,2,3,9,20301,teleport
1774986334734,732970,2,3,9,20301,trigger
1774986340222,738472,2,3,9,20301,reaction_reject
1774986594801,792052,2,3,10,10201,teleport
1774986603907,801440,2,3,10,10201,trigger
1774986613932,811454,2,3,10,10201,reaction_ignore
