unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775861999807,98574,3,5,1,20401,teleport
1775862123573,222355,3,5,1,20401,teleport
1775862144649,243663,3,5,1,20401,trigger
1775862152534,251556,3,5,1,20401,reaction_accept
1775862265284,346591,3,5,2,10401,teleport
1775862278020,359515,3,5,2,10401,trigger
1775862286304,367811,3,5,2,10401,reaction_accept
1775862362378,430589,3,5,3,20101,teleport
1775862404582,473028,3,5,3,20101,trigger
1775862408466,476928,3,5,3,20101,reaction_accept
1775862464961,520932,3,5,4,10101,teleport
1775862477015,533224,3,5,4,10101,trigger
1775862481079,537306,3,5,4,10101,reaction_accept
1775862550786,597317,3,5,5,20301,teleport
1775862712519,759079,3,5,5,20301,teleport
1775862732525,779308,3,5,5,20301,trigger
1775862738058,784855,3,5,5,20301,reaction_accept
1775862795344,833587,3,5,6,10301,teleport
1775862807728,846192,3,5,6,10301,trigger
1775862814338,852818,3,5,6,10301,reaction_accept
1775862886893,918153,3,5,7,20501,teleport
1775862896960,928460,3,5,7,20501,trigger
1775862902830,934348,3,5,7,20501,reaction_accept
1775863014019,1039339,3,5,8,10501,teleport
1775863022892,1048445,3,5,8,10501,trigger
1775863027124,1052690,3,5,8,10501,reaction_reject
1775863116240,1129206,3,5,9,20201,teleport
1775863158377,1171584,3,5,9,20201,trigger
1775863165029,1178248,3,5,9,20201,reaction_accept
1775863247863,1251371,3,5,10,10201,teleport
1775863256978,1260716,3,5,10,10201,trigger
1775863260271,1264024,3,5,10,10201,reaction_accept
