unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773623835657,60460,3,2,1,20401,teleport
1773623918291,143088,3,2,1,20401,teleport
1773623937312,162384,3,2,1,20401,trigger
1773623945148,170230,3,2,1,20401,reaction_reject
1773624006895,220473,3,2,2,10401,teleport
1773624017227,231066,3,2,2,10401,trigger
1773624022643,236500,3,2,2,10401,reaction_accept
1773624101016,304487,3,2,3,20104,teleport
1773624142517,346269,3,2,3,20104,trigger
1773624152520,356272,3,2,3,20104,reaction_ignore
1773624232019,402003,3,2,4,10101,teleport
1773624241596,411832,3,2,4,10101,trigger
1773624247991,418239,3,2,4,10101,reaction_accept
1773624443797,602397,3,2,5,20301,teleport
1773624506466,665011,3,2,5,20301,teleport
1773624526312,685153,3,2,5,20301,trigger
1773624532398,691261,3,2,5,20301,reaction_reject
1773624611541,748972,3,2,6,10301,teleport
1773624624208,761873,3,2,6,10301,trigger
1773624630886,768569,3,2,6,10301,reaction_accept
1773624711046,832636,3,2,7,20501,teleport
1773624724878,846740,3,2,7,20501,trigger
1773624734027,855900,3,2,7,20501,reaction_accept
1773624816082,917604,3,2,8,10501,teleport
1773624826952,928730,3,2,8,10501,trigger
1773624835367,937161,3,2,8,10501,reaction_reject
1773624925427,1001822,3,2,9,20201,teleport
1773624949109,1025769,3,2,9,20201,trigger
1773624959125,1035779,3,2,9,20201,reaction_ignore
1773625029597,1084847,3,2,10,10201,teleport
1773625041498,1097005,3,2,10,10201,trigger
1773625049802,1105323,3,2,10,10201,reaction_reject
