unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1775674102938,0,408,-520.000000,-17500.000000,159.922381,0.000000,0.000000,90.000000,0.000000,0.000000,-8.721222,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674102962,1,509,-520.000000,-17500.000000,158.543245,0.000000,0.000000,90.000000,0.000000,0.000000,-41.374096,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103040,2,582,-520.000000,-17500.000000,156.076042,0.000000,0.000000,90.000000,0.000000,0.000000,-74.016083,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103060,3,609,-520.000000,-17500.000000,152.521135,0.000000,0.000000,90.000000,0.000000,0.000000,-106.647194,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103077,4,626,-520.000000,-17500.000000,148.977956,0.000000,0.000000,90.000000,0.000000,0.000000,-132.765503,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103094,5,643,-520.000000,-17500.000000,146.340390,0.000000,0.000000,90.000000,0.000000,0.000000,-149.974182,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103111,6,661,-520.000000,-17500.000000,143.589290,0.000000,0.000000,90.000000,0.000000,0.000000,-166.171356,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103127,7,677,-520.000000,-17500.000000,140.284060,0.000000,0.000000,90.000000,0.000000,0.000000,-183.764771,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103144,8,692,-520.000000,-17500.000000,136.979264,0.000000,0.000000,90.000000,0.000000,0.000000,-199.930817,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
1775674103159,9,708,-520.000000,-17500.000000,133.755973,0.000000,0.000000,90.000000,0.000000,0.000000,-214.617004,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,1.000,0.000,0.000,0.000
