unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775060189188,60035,2,1,1,20201,teleport
1775060214108,85235,2,1,1,20201,trigger
1775060221481,92624,2,1,1,20201,reaction_accept
1775060332476,138558,2,1,2,10301,teleport
1775060342256,148567,2,1,2,10301,trigger
1775060348791,155110,2,1,2,10301,reaction_accept
1775060461176,221858,2,1,3,20401,teleport
1775060546056,306704,2,1,3,20401,teleport
1775060564110,325027,2,1,3,20401,trigger
1775060573339,334277,2,1,3,20401,reaction_accept
1775060672807,390427,2,1,4,10401,teleport
1775060682976,400828,2,1,4,10401,trigger
1775060688961,406830,2,1,4,10401,reaction_accept
1775060790751,474549,2,1,5,20501,teleport
1775060803467,487516,2,1,5,20501,trigger
1775060812703,496763,2,1,5,20501,reaction_accept
1775060926621,558804,2,1,6,10501,teleport
1775060936938,569381,2,1,6,10501,trigger
1775060944732,577188,2,1,6,10501,reaction_accept
1775061093044,693450,2,1,7,20103,teleport
1775061143801,744454,2,1,7,20103,trigger
1775061149132,749805,2,1,7,20103,reaction_accept
1775061217416,791941,2,1,8,10101,teleport
1775061232479,807241,2,1,8,10101,trigger
1775061239347,814132,2,1,8,10101,reaction_accept
1775061363856,914277,2,1,9,20301,teleport
1775061427069,977458,2,1,9,20301,teleport
1775061449867,1000536,2,1,9,20301,trigger
1775061455042,1005726,2,1,9,20301,reaction_reject
1775061554219,1060333,2,1,10,10201,teleport
1775061564170,1070540,2,1,10,10201,trigger
1775061570138,1076523,2,1,10,10201,reaction_accept
