unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775143249059,62008,3,3,1,20401,teleport
1775143323068,136027,3,3,1,20401,teleport
1775143337137,150395,3,3,1,20401,trigger
1775143345394,158668,3,3,1,20401,reaction_reject
1775143422903,219889,3,3,2,10401,teleport
1775143431199,228409,3,3,2,10401,trigger
1775143437986,235212,3,3,2,10401,reaction_reject
1775143519135,303908,3,3,3,20104,teleport
1775143538740,323790,3,3,3,20104,trigger
1775143548755,333796,3,3,3,20104,reaction_ignore
1775143578685,353352,3,3,4,10101,teleport
1775143587323,362306,3,3,4,10101,trigger
1775143596983,371985,3,3,4,10101,reaction_reject
1775143674107,432405,3,3,5,20301,teleport
1775143758189,516481,3,3,5,20301,teleport
1775143775407,533999,3,3,5,20301,trigger
1775143783585,542193,3,3,5,20301,reaction_reject
1775143857961,601003,3,3,6,10301,teleport
1775143865791,609073,3,3,6,10301,trigger
1775143873266,616565,3,3,6,10301,reaction_reject
1775143957133,684176,3,3,7,20501,teleport
1775143967184,694501,3,3,7,20501,trigger
1775143977223,704534,3,3,7,20501,reaction_ignore
1775144053357,768706,3,3,8,10501,teleport
1775144064167,779801,3,3,8,10501,trigger
1775144072463,788116,3,3,8,10501,reaction_reject
1775144151092,853101,3,3,9,20201,teleport
1775144172455,874752,3,3,9,20201,trigger
1775144180961,883279,3,3,9,20201,reaction_reject
1775144254697,936507,3,3,10,10201,teleport
1775144263169,945273,3,3,10,10201,trigger
1775144272932,955055,3,3,10,10201,reaction_accept
