Name,Category,Subcategory,Mode,LaneIndex,CarDensity,CarVelocity
C1_S1,1,1,Random,-1,Mid,Mid
C1_S2,1,2,Random,-1,Mid,Mid
C1_S3_L0,1,3,Defined,0,High,Slow
C1_S3_L1,1,3,Defined,1,Mid,Slow
C1_S3_L2,1,3,Defined,2,Mid,Fast
C1_S4_L0,1,4,Defined,0,Mid,Slow
C1_S4_L1,1,4,Defined,1,Mid,Fast
C1_S4_L2,1,4,Defined,2,High,Slow
C2_S1,2,1,Random,-1,Mid,Mid
C2_S2,2,2,Random,-1,Mid,Mid
C2_S3,2,3,Random,-1,Mid,Mid
C2_S4,2,4,Random,-1,Mid,Mid
