unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1773597864303,0,21,-520.000000,-17500.000000,160.000000,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1773597864693,1,421,-520.000000,-17500.000000,159.566605,0.000000,0.000000,90.000000,0.000000,0.000000,-20.606731,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1773597864736,2,677,-520.000000,-17500.000000,157.791417,0.000000,0.000000,90.000000,0.000000,0.000000,-53.255642,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597864817,3,750,-520.000000,-17500.000000,154.928295,0.000000,0.000000,90.000000,0.000000,0.000000,-85.893669,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597864911,4,841,-520.000000,-17500.000000,150.977601,0.000000,0.000000,90.000000,0.000000,0.000000,-118.520821,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597864953,5,891,-520.000000,-17500.000000,145.939697,0.000000,0.000000,90.000000,0.000000,0.000000,-151.137100,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597864995,6,934,-520.000000,-17500.000000,139.814947,0.000000,0.000000,90.000000,0.000000,0.000000,-183.742508,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865037,7,976,-520.000000,-17500.000000,132.603712,0.000000,0.000000,90.000000,0.000000,0.000000,-216.337036,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865074,8,1019,-520.000000,-17500.000000,124.306355,0.000000,0.000000,90.000000,0.000000,0.000000,-248.920700,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865119,9,1058,-520.000000,-17500.000000,114.923237,0.000000,0.000000,90.000000,0.000000,0.000000,-281.493500,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865161,10,1104,-520.000000,-17500.000000,104.454722,0.000000,0.000000,90.000000,0.000000,0.000000,-314.055450,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865197,11,1142,-520.000000,-17500.000000,92.901170,0.000000,0.000000,90.000000,0.000000,0.000000,-346.606537,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865233,12,1179,-520.000000,-17500.000000,80.262943,0.000000,0.000000,90.000000,0.000000,0.000000,-379.146790,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865269,13,1215,-520.000000,-17500.000000,66.540403,0.000000,0.000000,90.000000,0.000000,0.000000,-411.676178,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865310,14,1252,-520.000000,-17500.000000,51.733911,0.000000,0.000000,90.000000,0.000000,0.000000,-444.194733,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865344,15,1290,-520.000000,-17500.000000,35.843829,0.000000,0.000000,90.000000,0.000000,0.000000,-476.702454,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,-0.006,0.000
1773597865389,16,1327,-519.916364,-17499.887872,22.214273,0.124585,0.128255,90.005704,-0.737465,0.000000,-409.363861,0.000000,0.000000,0.000000,-0.000100,0.999997,0.002238,-0.916273,0.000,0.000,-0.006,0.000
