unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1774038601053,51374,1,3,1,20103,teleport
1774038643783,94103,1,3,1,20103,teleport
1774038660519,110885,1,3,1,20103,trigger
1774038670528,120896,1,3,1,20103,reaction_ignore
1774038715878,138367,1,3,2,10101,teleport
1774038759953,182441,1,3,2,10101,teleport
1774038767581,190119,1,3,2,10101,trigger
1774038772306,194849,1,3,2,10101,reaction_accept
1774038820238,232605,1,3,3,20501,teleport
1774038850284,262657,1,3,3,20501,teleport
1774038859155,271577,1,3,3,20501,trigger
1774038868853,281280,1,3,3,20501,reaction_accept
1774038921104,310010,1,3,4,10501,teleport
1774038957485,346394,1,3,4,10501,teleport
1774038965027,353987,1,3,4,10501,trigger
1774038969553,358519,1,3,4,10501,reaction_reject
1774039055680,390363,1,3,5,20201,teleport
1774039108332,443014,1,3,5,20201,teleport
1774039125063,459800,1,3,5,20201,trigger
1774039130534,465266,1,3,5,20201,reaction_accept
1774039156222,472714,1,3,6,10301,teleport
1774039196712,513201,1,3,6,10301,teleport
1774039204308,520846,1,3,6,10301,trigger
1774039210503,527044,1,3,6,10301,reaction_accept
1774039265165,569543,1,3,7,20301,teleport
1774039299198,603574,1,3,7,20301,teleport
1774039314563,618993,1,3,7,20301,trigger
1774039320794,625227,1,3,7,20301,reaction_accept
1774039346680,640164,1,3,8,10401,teleport
1774039387404,680884,1,3,8,10401,teleport
1774039395005,688538,1,3,8,10401,trigger
1774039400052,693589,1,3,8,10401,reaction_accept
1774039441589,725599,1,3,9,20401,teleport
1774039490115,774123,1,3,9,20401,teleport
1774039502969,787031,1,3,9,20401,trigger
1774039507403,791467,1,3,9,20401,reaction_accept
1774039535186,808143,1,3,10,10201,teleport
1774039579220,852177,1,3,10,10201,teleport
1774039586819,859827,1,3,10,10201,trigger
1774039591704,864715,1,3,10,10201,reaction_accept
