unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1776364559888,65030,3,6,1,20401,teleport
1776364633080,138234,3,6,1,20401,teleport
1776364655961,161415,3,6,1,20401,trigger
1776364664115,169549,3,6,1,20401,reaction_accept
1776364740660,222349,3,6,2,10401,teleport
1776364752389,234305,3,6,2,10401,trigger
1776364756585,238496,3,6,2,10401,reaction_accept
1776364879845,343961,3,6,3,20101,teleport
1776364906154,370565,3,6,3,20101,trigger
1776364913193,377602,3,6,3,20101,reaction_reject
1776364953044,401779,3,6,4,10101,teleport
1776364962844,411924,3,6,4,10101,trigger
1776364967211,416281,3,6,4,10101,reaction_accept
1776365038822,475451,3,6,5,20301,teleport
1776365196423,633088,3,6,5,20301,teleport
1776365214151,651091,3,6,5,20301,trigger
1776365218368,655326,3,6,5,20301,reaction_reject
1776365294202,708818,3,6,6,10301,teleport
1776365304265,719128,3,6,6,10301,trigger
1776365313405,728283,3,6,6,10301,reaction_accept
1776365385140,789514,3,6,7,20501,teleport
1776365396811,801480,3,6,7,20501,trigger
1776365404993,809668,3,6,7,20501,reaction_accept
1776365522446,913350,3,6,8,10501,teleport
1776365530491,921677,3,6,8,10501,trigger
1776365536181,927385,3,6,8,10501,reaction_reject
1776365644040,1010447,3,6,9,20201,teleport
1776365662088,1028783,3,6,9,20201,trigger
1776365670855,1037567,3,6,9,20201,reaction_reject
1776365738006,1085949,3,6,10,10201,teleport
1776365748308,1096560,3,6,10,10201,trigger
1776365752445,1100694,3,6,10,10201,reaction_accept
