unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773604768862,53111,1,0,1,30101,teleport
1773604850859,135110,1,0,1,30101,teleport
1773604869146,153445,1,0,1,30101,trigger
1773604873477,157781,1,0,1,30101,reaction_accept
1773604918231,179601,1,0,2,30201,teleport
1773604975518,236884,1,0,2,30201,teleport
1773604997978,259395,1,0,2,30201,trigger
1773605002265,263688,1,0,2,30201,reaction_reject
1773605029580,283413,1,0,3,30301,teleport
1773605070600,324431,1,0,3,30301,teleport
