unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775677499661,96563,2,6,1,20201,teleport
1775677544373,141522,2,6,1,20201,trigger
1775677546716,143881,2,6,1,20201,reaction_accept
1775677643745,220393,2,6,2,10301,teleport
1775677652032,228884,2,6,2,10301,trigger
1775677654146,231022,2,6,2,10301,reaction_accept
1775677700411,268792,2,6,3,20401,teleport
1775677790513,358916,2,6,3,20401,teleport
1775677810453,379109,2,6,3,20401,trigger
1775677814118,382790,2,6,3,20401,reaction_accept
1775677886157,442928,2,6,4,10401,teleport
1775677896726,453719,2,6,4,10401,trigger
1775677898557,455563,2,6,4,10401,reaction_accept
1775677966378,514504,2,6,5,20501,teleport
1775677980742,529127,2,6,5,20501,trigger
1775677984838,533241,2,6,5,20501,reaction_accept
1775678071046,611298,2,6,6,10501,teleport
1775678079103,619608,2,6,6,10501,trigger
1775678083327,623847,2,6,6,10501,reaction_reject
1775678168499,694997,2,6,7,20103,teleport
1775678199572,726327,2,6,7,20103,trigger
1775678204173,730932,2,6,7,20103,reaction_accept
1775678253469,773113,2,6,8,10101,teleport
1775678265568,785474,2,6,8,10101,trigger
1775678267748,787669,2,6,8,10101,reaction_accept
1775678378296,892859,2,6,9,20301,teleport
1775678538498,1053070,2,6,9,20301,teleport
1775678557656,1072398,2,6,9,20301,trigger
1775678564405,1079226,2,6,9,20301,reaction_reject
1775678628251,1127700,2,6,10,10201,teleport
1775678640746,1140456,2,6,10,10201,trigger
1775678643179,1142906,2,6,10,10201,reaction_accept
