unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1774028021583,0,416,-520.000000,-17500.000000,159.732165,0.000000,0.000000,90.000000,0.000000,0.000000,-16.199858,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1774028021651,1,537,-520.000000,-17500.000000,158.103823,0.000000,0.000000,90.000000,0.000000,0.000000,-48.850239,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021819,2,705,-520.000000,-17500.000000,155.387499,0.000000,0.000000,90.000000,0.000000,0.000000,-81.489738,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021837,3,727,-520.000000,-17500.000000,151.583553,0.000000,0.000000,90.000000,0.000000,0.000000,-114.118355,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021865,4,753,-520.000000,-17500.000000,148.631968,0.000000,0.000000,90.000000,0.000000,0.000000,-135.444794,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021900,5,787,-520.000000,-17500.000000,144.527406,0.000000,0.000000,90.000000,0.000000,0.000000,-160.470474,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021929,6,818,-520.000000,-17500.000000,138.091647,0.000000,0.000000,90.000000,0.000000,0.000000,-193.072769,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021960,7,849,-520.000000,-17500.000000,131.226978,0.000000,0.000000,90.000000,0.000000,0.000000,-223.151260,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028021993,8,880,-520.000000,-17500.000000,123.141326,0.000000,0.000000,90.000000,0.000000,0.000000,-254.237808,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
1774028022022,9,911,-520.000000,-17500.000000,114.343980,0.000000,0.000000,90.000000,0.000000,0.000000,-284.457977,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.010,0.000
