unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773694501786,53246,1,0,1,30101,teleport
1773694543884,95343,1,0,1,30101,teleport
1773694561755,113261,1,0,1,30101,trigger
1773694571756,123264,1,0,1,30101,reaction_ignore
1773694704390,140749,1,0,2,30201,teleport
1773694746412,182771,1,0,2,30201,teleport
1773694764707,201115,1,0,2,30201,trigger
1773694774704,211115,1,0,2,30201,reaction_ignore
1773694807350,239965,1,0,3,30301,teleport
1773694852319,284924,1,0,3,30301,teleport
