unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1776286981870,58768,3,6,1,20401,teleport
1776287061608,138533,3,6,1,20401,teleport
1776287076553,153755,3,6,1,20401,trigger
1776287083380,160561,3,6,1,20401,reaction_accept
1776287164027,222497,3,6,2,10401,teleport
1776287172363,231062,3,6,2,10401,trigger
1776287177914,236604,3,6,2,10401,reaction_accept
1776287265799,307100,3,6,3,20101,teleport
1776287283752,325318,3,6,3,20101,trigger
1776287289947,331509,3,6,3,20101,reaction_accept
1776287371114,390477,3,6,4,10101,teleport
1776287379407,399051,3,6,4,10101,trigger
1776287383117,402756,3,6,4,10101,reaction_accept
1776287482396,475137,3,6,5,20301,teleport
1776287640335,633098,3,6,5,20301,teleport
1776287660214,653228,3,6,5,20301,trigger
1776287663018,656032,3,6,5,20301,reaction_accept
1776287734243,707692,3,6,6,10301,teleport
1776287745997,719670,3,6,6,10301,trigger
1776287749086,722777,3,6,6,10301,reaction_accept
1776287840686,789549,3,6,7,20501,teleport
1776287850162,799300,3,6,7,20501,trigger
1776287853850,802984,3,6,7,20501,reaction_reject
1776287976665,913423,3,6,8,10501,teleport
1776287985015,922031,3,6,8,10501,trigger
1776287989632,926664,3,6,8,10501,reaction_reject
1776288080798,1003870,3,6,9,20201,teleport
1776288122390,1045730,3,6,9,20201,trigger
1776288125500,1048838,3,6,9,20201,reaction_accept
1776288234759,1123401,3,6,10,10201,teleport
1776288243001,1131896,3,6,10,10201,trigger
1776288246570,1135461,3,6,10,10201,reaction_accept
