unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1774981511864,60276,3,1,1,20401,teleport
1774981591100,139520,3,1,1,20401,teleport
1774981606793,155548,3,1,1,20401,trigger
1774981610400,159167,3,1,1,20401,reaction_accept
1774981663780,187367,3,1,2,10401,teleport
1774981673568,197440,3,1,2,10401,trigger
1774981680949,204837,3,1,2,10401,reaction_accept
1774981752635,262429,3,1,3,20102,teleport
1774981774883,284997,3,1,3,20102,trigger
1774981780742,290859,3,1,3,20102,reaction_accept
1774981828788,312345,3,1,4,10101,teleport
1774981837905,321801,3,1,4,10101,trigger
1774981843497,327417,3,1,4,10101,reaction_accept
1774981899076,367120,3,1,5,20301,teleport
1774981987923,455990,3,1,5,20301,teleport
1774982009855,478233,3,1,5,20301,trigger
1774982016654,485048,3,1,5,20301,reaction_reject
1774982091026,543583,3,1,6,10301,teleport
1774982100009,552807,3,1,6,10301,trigger
1774982106306,559112,3,1,6,10301,reaction_accept
1774982143620,582101,3,1,7,20501,teleport
1774982157818,596622,3,1,7,20501,trigger
1774982167262,606090,3,1,7,20501,reaction_accept
1774982245996,667830,3,1,8,10501,teleport
1774982255601,677737,3,1,8,10501,trigger
1774982264939,687092,3,1,8,10501,reaction_reject
1774982381935,790145,3,1,9,20201,teleport
1774982425084,833581,3,1,9,20201,trigger
1774982434307,842814,3,1,9,20201,reaction_accept
1774982504319,879102,3,1,10,10201,teleport
1774982513199,888302,3,1,10,10201,trigger
1774982519719,894840,3,1,10,10201,reaction_accept
