unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1773608413544,96520,3,6,1,20401,teleport
1773608538101,221091,3,6,1,20401,teleport
1773608554389,237611,3,6,1,20401,trigger
1773608559463,242703,3,6,1,20401,reaction_reject
1773608643249,310506,3,6,2,10401,teleport
1773608653867,321330,3,6,2,10401,trigger
1773608657336,324814,3,6,2,10401,reaction_accept
1773608776443,428023,3,6,3,20101,teleport
1773608819373,471182,3,6,3,20101,trigger
1773608823541,475366,3,6,3,20101,reaction_reject
1773608881340,518354,3,6,4,10101,teleport
1773608892486,529748,3,6,4,10101,trigger
1773608895890,533169,3,6,4,10101,reaction_accept
1773609018409,639016,3,6,5,20301,teleport
1773609135746,756359,3,6,5,20301,teleport
1773609151400,772249,3,6,5,20301,trigger
1773609153878,774741,3,6,5,20301,reaction_reject
1773609189514,793874,3,6,6,10301,teleport
1773609198660,803264,3,6,6,10301,trigger
1773609201786,806408,3,6,6,10301,reaction_accept
1773609280871,873194,3,6,7,20501,teleport
1773609289972,882552,3,6,7,20501,trigger
1773609296138,888733,3,6,7,20501,reaction_accept
1773609378939,957598,3,6,8,10501,teleport
1773609386867,965768,3,6,8,10501,trigger
1773609391116,970034,3,6,8,10501,reaction_reject
1773609478246,1042804,3,6,9,20201,teleport
1773609496984,1061812,3,6,9,20201,trigger
1773609501676,1066523,3,6,9,20201,reaction_reject
1773609579784,1125518,3,6,10,10201,teleport
1773609587691,1133683,3,6,10,10201,trigger
1773609591085,1137091,3,6,10,10201,reaction_accept
