unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1775259855520,96348,3,6,1,20401,teleport
1775259979436,220287,3,6,1,20401,teleport
1775259995520,236610,3,6,1,20401,trigger
1775260003341,244447,3,6,1,20401,reaction_accept
1775260081776,310479,3,6,2,10401,teleport
1775260090520,319455,3,6,2,10401,trigger
1775260093862,322811,3,6,2,10401,reaction_accept
1775260205354,427962,3,6,3,20103,teleport
1775260248601,471440,3,6,3,20103,trigger
1775260254923,477782,3,6,3,20103,reaction_accept
1775260300076,518389,3,6,4,10101,teleport
1775260309158,527721,3,6,4,10101,trigger
1775260311428,530012,3,6,4,10101,reaction_accept
1775260425886,638970,3,6,5,20301,teleport
1775260587996,801071,3,6,5,20301,teleport
1775260604747,818062,3,6,5,20301,trigger
1775260609615,822946,3,6,5,20301,reaction_accept
1775260641090,835808,3,6,6,10301,teleport
1775260651110,846097,3,6,6,10301,trigger
1775260657504,852510,3,6,6,10301,reaction_accept
1775260733059,915431,3,6,7,20501,teleport
1775260744032,926682,3,6,7,20501,trigger
1775260748700,931370,3,6,7,20501,reaction_reject
1775260845996,999423,3,6,8,10501,teleport
1775260855027,1008701,3,6,8,10501,trigger
1775260857354,1011044,3,6,8,10501,reaction_reject
1775260964513,1083521,3,6,9,20201,teleport
1775260986362,1105632,3,6,9,20201,trigger
1775260990478,1109768,3,6,9,20201,reaction_reject
1775261076349,1167430,3,6,10,10201,teleport
1775261085311,1176639,3,6,10,10201,trigger
1775261089198,1180546,3,6,10,10201,reaction_reject
